Symbol,ADF_stat,ADF_p,ADF_stationary,KPSS_stat,KPSS_p,Conclusion
AAA,-1.8651,0.3487,False,1.284,0.01,I(1)+ - Không dừng
AAM,-2.1312,0.2322,False,1.9964,0.01,I(1)+ - Không dừng
AAT,-1.2662,0.6445,False,2.4322,0.01,I(1)+ - Không dừng
ABS,-1.4253,0.5701,False,2.6175,0.01,I(1)+ - Không dừng
ACB,-2.1744,0.2157,False,1.0629,0.01,I(1)+ - Không dừng
ACC,-2.0788,0.2531,False,1.8892,0.01,I(1)+ - Không dừng
ACG,-1.7888,0.386,False,2.4085,0.01,I(1)+ - Không dừng
ACL,-1.616,0.4748,False,1.6792,0.01,I(1)+ - Không dừng
ADG,-0.9884,0.7575,False,2.4215,0.01,I(1)+ - Không dừng
ADS,-1.7079,0.427,False,1.471,0.01,I(1)+ - Không dừng
AFX,-1.1392,0.6992,False,2.6743,0.01,I(1)+ - Không dừng
AGG,-0.8752,0.796,False,2.9148,0.01,I(1)+ - Không dừng
AGR,-2.7107,0.0722,False,0.7182,0.0119,I(1)+ - Không dừng
ANV,-1.2183,0.6657,False,2.2996,0.01,I(1)+ - Không dừng
APG,-2.2829,0.1775,False,0.7649,0.01,I(1)+ - Không dừng
APH,-1.4838,0.5415,False,2.3729,0.01,I(1)+ - Không dừng
ASG,-1.7305,0.4155,False,3.0996,0.01,I(1)+ - Không dừng
ASM,-1.923,0.3213,False,1.9618,0.01,I(1)+ - Không dừng
ASP,-1.8302,0.3656,False,2.1556,0.01,I(1)+ - Không dừng
BAF,-1.8057,0.3777,False,1.8838,0.01,I(1)+ - Không dừng
BCE,-1.97,0.2999,False,2.434,0.01,I(1)+ - Không dừng
BCG,-1.3163,0.6217,False,2.0801,0.01,I(1)+ - Không dừng
BCM,-2.1612,0.2206,False,1.1559,0.01,I(1)+ - Không dừng
BFC,-1.5733,0.497,False,1.1908,0.01,I(1)+ - Không dừng
BHN,-0.8748,0.7961,False,3.154,0.01,I(1)+ - Không dừng
BIC,-3.8382,0.0025,True,0.1919,0.1,I(0) - Dừng
BID,-1.1033,0.7138,False,0.5527,0.0298,I(1)+ - Không dừng
BKG,-1.8729,0.3449,False,2.1141,0.01,I(1)+ - Không dừng
BMC,-2.3414,0.159,False,0.9094,0.01,I(1)+ - Không dừng
BMI,-2.0735,0.2553,False,1.7412,0.01,I(1)+ - Không dừng
