,PC1,PC2,PC3,PC4
AAA,0.06700917607767072,0.01161662662535747,-0.030885340133489484,0.07656743062897857
AAM,0.04991367737151471,-0.04723857044252682,-0.07284999528540743,0.04230967313549157
AAT,0.0636613432585065,-0.04787062725310818,0.05663127987575619,0.02842257463968784
ABS,0.06556124263838184,-0.048931320436144066,0.029370015713942356,0.0225444079983601
ACB,0.06286299548590377,0.04122394233387574,-0.035072219027563266,-0.061835374082791106
ACC,0.0510199288777739,-0.048666775053223914,-0.023493780979571124,0.06243974641310694
ACG,0.06417954491555616,-0.04342551099469121,0.04943639260862291,0.0028104731644929006
ACL,0.06448693854589398,-0.019463229978815038,0.05779941377847524,0.07794692125108453
ADG,0.05513406788842761,-0.05798306487953584,-0.06833344514682857,0.06483231769007182
ADS,0.06806736793038551,0.007431714160888106,-0.0012840155975262437,0.040024205626625245
AFX,0.05557144372241141,-0.06568568894961968,0.007227202188912059,-0.006641036765715192
AGG,0.06128381265923831,-0.058887600807131395,-0.016729855311702294,-0.03401366011122936
AGR,0.05188559282479068,0.08332207330903135,-0.04284622576205444,-0.01745596764781742
ANV,0.05649683898190823,-0.05691231110948343,0.09006657924794988,0.03966979719244781
APG,0.05547733426999551,0.06572706783267009,-0.0615231588976414,-0.0705927546832674
APH,0.06733209896489566,-0.03804490147715182,0.02497665420296554,0.041277530005530125
ASG,0.05857768165412964,-0.06407477241581062,-0.01987427806550497,-0.060747407651322985
ASM,0.06817471188127888,-0.020421084979023927,0.045310915374800774,0.037925709309321085
ASP,0.0659723206097016,-0.028661252956017583,-0.05419907991464718,0.04207813761860776
BAF,0.06624298651888594,-0.006400348108198395,0.011781266519299052,-0.027078068188719055
BCE,0.06940100576716796,-0.028529360197672715,-0.036087416963553165,-0.010024164415165644
BCG,0.06637945888918563,-0.03207550487042878,0.05193743152488096,0.05415483694608703
BCM,0.0033124883651909232,-0.07841062386291638,-0.08173497877680881,0.05408235625070887
BFC,0.06407129892560876,0.03178225472934202,0.02513363441340304,-0.0628786347030589
BHN,0.0594716497911311,-0.07093449760659871,0.007759169473779576,-0.011215138770116054
BIC,0.03397437526425647,0.037001141189528915,-0.041953822634768434,0.08335468690846534
BID,0.04697263024324089,0.051761326308552756,-0.08517010666409489,-0.07686477848254024
BKG,0.06877514657366846,-0.02239822719713018,0.026520125788532994,0.010622351619583158
BMC,0.06010140771081372,0.040592971539653286,-0.049962750955588116,-0.07204458817173384
BMI,0.06769224029768887,-0.00886942318323502,-0.00897467132790579,0.03491398108891453
BMP,-0.01217120363646497,0.1205304447954993,0.03335629311918869,0.025252833730637008
BRC,0.06655756485749008,0.025528880359949727,-2.7112045850349996e-05,-0.038621819878822995
BSI,0.023097670266159713,0.1172714131409314,0.0362746100697204,-0.024512722011401002
BSR,0.06196027105415352,0.0006475432463180827,0.08001372764666599,0.02634579636625724
BTP,0.0545857510813347,0.05186596068812401,0.001326802953406018,-0.0689311159233362
BVH,0.04996789533650743,-0.07486235777851337,-0.02705046183232453,0.007574198866165599
BWE,0.05828728663261973,-0.022496365594785277,-0.0376009451292726,0.042677133120367874
C32,0.05821413459769664,-0.06505955722550444,0.037506513791477215,0.057838413411256756
C47,0.06549127024934799,-0.029057710769874123,0.06578048659328747,0.03659715513258177
CCL,0.07086401644474612,0.012377653715658332,-0.01295030166791131,-0.02952546450484475
CDC,-0.042864157660622244,0.07617457735140439,0.08780573423921166,0.003253558920480201
CHP,-0.0389604424777579,0.08341200771635134,0.09260370047626303,0.030516750864112315
