P,Q,Status,Num_Params,AIC,BIC,HQIC,RMSE_val,MAE_val,MAPE_val(%),R2_val
1,1,OK,320.0,4307.825010146958,5680.023618965621,4844.880839279831,100.92107739201528,76.71437730544457,6.1169474511399935,-12.952424101691845
1,2,FAIL: ValueError,,,,,,,,
1,3,FAIL: ValueError,,,,,,,,
1,4,FAIL: ValueError,,,,,,,,
1,5,FAIL: ValueError,,,,,,,,
2,1,OK,321.0,4308.444352409195,5684.917723249098,4847.17325266086,113.26422518163814,85.71543340072245,6.833146179571944,-16.574032657349537
2,2,FAIL: ValueError,,,,,,,,
2,3,FAIL: ValueError,,,,,,,,
2,4,FAIL: ValueError,,,,,,,,
2,5,FAIL: ValueError,,,,,,,,
3,1,OK,322.0,4305.316409206547,5686.064542067694,4845.718380577007,133.15679858577383,100.3719535638604,8.000036230062522,-23.289165972519182
3,2,FAIL: ValueError,,,,,,,,
3,3,FAIL: ValueError,,,,,,,,
3,4,FAIL: ValueError,,,,,,,,
3,5,FAIL: ValueError,,,,,,,,
4,1,OK,323.0,4306.452364731878,5691.475259614267,4848.527407221133,131.39512916194678,98.54575281284349,7.853766767192183,-22.65072425180187
4,2,FAIL: ValueError,,,,,,,,
4,3,FAIL: ValueError,,,,,,,,
4,4,FAIL: ValueError,,,,,,,,
4,5,FAIL: ValueError,,,,,,,,
5,1,OK,324.0,4308.401634182424,5697.699291086054,4852.149747790472,133.51905207136673,100.05638996279217,7.974371207075009,-23.42150324344094
5,2,FAIL: ValueError,,,,,,,,
5,3,FAIL: ValueError,,,,,,,,
5,4,FAIL: ValueError,,,,,,,,
5,5,FAIL: ValueError,,,,,,,,
