Lookback,Batch_size,Train_RMSE,Train_MAE,Train_MAPE(%),Val_RMSE,Val_MAE,Val_MAPE(%),Train_samples,Val_samples,Train_period_start,Train_period_end,Val_period_start,Val_period_end,Best_Epoch
10,8,20.75372382276951,15.79435950681737,1.3386987606625076,23.483738453845916,18.381253612487303,1.4756101296928104,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,44
10,16,19.14642335128535,14.506221942393951,1.2431082140924234,23.24824033199846,18.164080046366873,1.4573099034811172,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,69
10,32,19.76700732863697,14.775504786270202,1.2760835001323827,23.620330032836538,18.504429028518803,1.4831483497790727,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,88
20,8,17.290523149712065,13.415533153918366,1.1574933701614372,31.86334103416644,22.182673002413615,1.7850980591909573,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,25
20,16,19.61730767071127,14.687491431421092,1.27988633589854,33.03855151623456,22.705711223323178,1.8263346340149418,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,17
20,32,22.21024693945126,17.038805357467297,1.4813471200397756,30.201614473080255,20.79079748634401,1.6723871648177457,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,20
30,8,18.09762256129752,13.632452030709613,1.1844283418380401,38.936259264421984,31.238314357850612,2.5140691021861046,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,12
30,16,19.536506309298,14.62235572061049,1.275833637670964,33.598469716807145,24.078162633384153,1.944734977300126,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,22
30,32,22.03373323621049,16.702610620792676,1.454028996499146,30.422162540461706,21.230799391831802,1.7149575913038284,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,34
45,8,17.794209570437616,13.42358711693292,1.1814025414946914,47.76425929535956,40.27427857437755,3.2432710372118256,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,14
45,16,19.26584159038237,14.414686296699976,1.2696212216588219,34.64003375348634,26.184658084032012,2.1194427653158563,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,28
45,32,21.813548659301137,16.373282677054164,1.4397905564081726,29.73006151357244,21.419437841399898,1.735945243281108,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,32
60,8,17.537334853305648,13.302726045496327,1.1714587622825394,40.28480660397346,32.55674165555133,2.627385786803742,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,20
60,16,19.90372315821718,14.683814645975582,1.2942926538299622,25.628552728613645,19.132720044143802,1.5414442227653469,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,38
60,32,20.092577676138582,14.894591526063552,1.3129773572737111,25.303025243786593,19.36998674098069,1.5551306353900765,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,87
