,PC1,PC2,PC3
AAA,0.0670091760776707,0.011616626625357927,-0.03088534013092983
AAM,0.04991367737151523,-0.04723857044252712,-0.0728499952835295
AAT,0.063661343258507,-0.047870627253106805,0.05663127987450008
ABS,0.06556124263838242,-0.048931320436142844,0.02937001571599726
ACB,0.0628629954859033,0.04122394233387605,-0.035072219028049426
ACC,0.05101992887777442,-0.04866677505322334,-0.023493780971256976
ACG,0.06417954491555661,-0.04342551099469007,0.049436392608899586
ACL,0.06448693854589424,-0.019463229978813747,0.057799413777093515
ADG,0.0551340678884282,-0.05798306487953605,-0.06833344514848363
ADS,0.06806736793038541,0.007431714160889031,-0.001284015594894347
AFX,0.05557144372241217,-0.06568568894961883,0.007227202197348043
AGG,0.06128381265923896,-0.05888760080713077,-0.016729855307079156
AGR,0.05188559282478973,0.0833220733090313,-0.04284622576197146
ANV,0.05649683898190888,-0.0569123111094818,0.09006657924906787
APG,0.05547733426999476,0.06572706783266989,-0.06152315889654843
APH,0.06733209896489604,-0.038044901477150776,0.02497665420433201
ASG,0.05857768165413035,-0.06407477241581022,-0.019874278069498513
ASM,0.06817471188127908,-0.020421084979022643,0.04531091537498499
ASP,0.06597232060970187,-0.028661252956017402,-0.05419907991934218
BAF,0.06624298651888598,-0.0064003481081973,0.011781266523753279
BCE,0.06940100576716825,-0.028529360197672292,-0.03608741696473025
BCG,0.06637945888918594,-0.032075504870427526,0.051937431525132166
BCM,0.0033124883651918006,-0.07841062386291736,-0.08173497878977065
BFC,0.06407129892560841,0.03178225472934324,0.02513363441730481
BHN,0.059471649791131856,-0.07093449760659788,0.007759169473601312
BIC,0.03397437526425607,0.037001141189528665,-0.041953822636736554
BID,0.046972630243240276,0.051761326308552694,-0.08517010665909232
BKG,0.06877514657366866,-0.022398227197128986,0.02652012578764832
BMC,0.060101407710813265,0.04059297153965327,-0.04996275095510437
BMI,0.0676922402976889,-0.008869423183234467,-0.00897467132923119
BMP,-0.012171203636466302,0.12053044479549967,0.033356293119389896
BRC,0.06655756485748975,0.02552888035995055,-2.7112049382049967e-05
BSI,0.023097670266158395,0.11727141314093187,0.036274610067130654
BSR,0.06196027105415351,0.0006475432463197705,0.08001372764585113
BTP,0.05458575108133409,0.05186596068812445,0.0013268029507698953
BVH,0.04996789533650826,-0.07486235777851288,-0.027050461828422454
BWE,0.058287286632619915,-0.022496365594785444,-0.037600945135034515
C32,0.058214134597697365,-0.0650595572255035,0.03750651379154646
C47,0.0654912702493483,-0.029057710769872562,0.06578048659426469
CCL,0.07086401644474595,0.012377653715658955,-0.012950301667853614
CDC,-0.04286415766062307,0.07617457735140472,0.08780573423771935
CHP,-0.03896044247775881,0.08341200771635178,0.09260370047739114
CIG,0.06856615746253017,0.02257566260157644,-0.011720837751650972
CII,0.06579309407234671,0.02649574922475323,0.011087253195478508
CKG,0.015995554081163734,0.03708837877575548,-0.13433735629974886
CLC,0.03731226752372649,0.08740174885916059,0.054055332831388525
CLL,0.014574408419556229,0.12389897289872588,0.017880512096553267
CMG,0.048367174133893846,0.036584412320525506,0.12123884648046447
CMX,0.06567402573426594,-0.03341430931092605,0.03965483339911612
CNG,0.056822302343024884,0.06362032586947942,0.027879612556359637
CRC,0.06831941811647187,-0.0026497278530257487,0.005486391820325859
CRE,0.06451945429617144,-0.050815076569644874,0.016381885674392926
CSV,0.06364086274012334,-0.03979980048063297,0.06291394856688805
CTF,-0.04380174785001526,0.07324638723281171,-0.06507304058088921
CTG,0.02488662977163416,0.09006436856269659,-0.06731842123782138
CTI,0.062178014306679234,0.047945788224446666,-0.06843312413130433
CTR,0.03198604034710328,0.10025085244332112,0.07640024960402282
CTS,0.03379004637365154,0.10982868417412445,-0.023268358529446243
D2D,0.0703194518734422,-0.018953168802076998,-0.013028340443485895
DAH,0.06162581672564754,-0.04844627671649371,0.049847423377781586
DAT,0.06370105516556253,-0.04703514194777707,-0.008888910438812242
DBC,0.06477104060466016,0.04831490191917355,0.006586217852509339
DBD,0.025925360027051484,0.07938295557357655,0.12525216330037814
DBT,0.04219192392293276,0.07352424373184024,-0.04809662508664225
DC4,0.06905219738560057,0.016597079796097074,-0.008538391793872968
DCL,0.06090302889616922,-0.022976656260129475,-0.06218144722565029
DCM,0.05160866978302847,0.03269854736658098,0.08215867971333592
DGC,0.03730915499001747,0.03526470819112344,0.17782605125940862
DGW,0.060945712512095324,-0.031094671268531274,0.09346468600520358
DHA,0.03876181830851038,0.1026147197747893,-0.019236923107972908
DHC,0.06661064120369893,-0.013226707158639465,0.04897768685716418
DHG,0.020180131324671263,0.0880716548325684,-0.05731909738005172
DHM,0.040179211451317566,-0.08512932003749753,-0.03904044657266418
DIG,0.06866388794438888,-0.001117522022165194,0.06004654882974032
DLG,0.06716744721552702,-0.0296350090385171,0.010585039136269172
DMC,0.022417533232641885,0.10263885026887667,0.01988253622030792
DPG,0.06926402532968645,0.016926471803273124,-0.013857451395691936
DPM,0.048511307553658824,-0.03724953013032243,0.08238360790647455
DPR,0.06716131295318874,0.022145221202519265,0.051786050228541804
DQC,0.06541288832863269,-0.033007275146936035,-0.049826727993035
DRC,0.055488249072687304,0.0372438857208468,0.09164677688708703
DRL,0.030525447525809327,0.07231029107987773,0.02532402416339682
DSC,-0.036019162152208906,0.01539295686581928,-0.008441759927026686
DSN,-0.018898659353455284,0.09313213829996465,-0.05151813723988671
DTA,0.06885676828778091,-0.025900251248648955,-0.018844010255192185
DTL,0.05061838523193705,-0.0437930615376779,-0.13080523325672477
DVP,0.027037274040157076,0.11294780331942844,0.04499582306170854
DXG,0.06724513647229512,0.006410021986103317,0.064290801826113
DXS,0.06752013347626468,-0.02323617869319053,0.060113456648795895
DXV,0.06569106661159205,-0.03821422357455064,-0.03204531450536967
EIB,0.05991572329323286,-0.033000368331985996,0.01206818561825832
ELC,0.024287652133670564,0.11320174607662781,0.04520001183525443
EVE,0.02960644779345023,0.06519978641804856,-0.07141538787768568
EVF,0.04727155163087873,0.07921813799572847,0.043369170243099726
EVG,0.0679905968518428,0.008879803208653683,-0.001557708307316017
FCM,0.06786925262841946,0.017010667119020342,-0.020382163950965305
FCN,0.0631967007330452,0.043552070166651455,-0.0260828153374645
FIR,-0.024671221063744746,-0.09489576114633402,-0.07496670498694732
FIT,0.06826940080067621,-0.01596363746423014,-0.013233731966897255
FMC,0.061981499982078046,0.022637425064612894,0.06126751862996008
FPT,-0.005871199694993581,0.10883253490630078,0.1069286999339189
FRT,0.006790917793074006,0.09271666811251168,0.133630588815219
FTS,0.048978020910889215,0.08699942741872332,-0.00803333592573944
GAS,0.027518703169950493,-0.0688757693894597,0.027893163174071055
GDT,0.05526063596693673,-0.07645340748074904,0.00962791746551983
GEE,0.06494176535715256,0.01880613585907642,0.010350663181856611
GEX,0.06502378857543537,0.04650174660939721,0.02124220506505566
GMD,0.02758571653325784,0.0810744807446983,0.13358003467999938
GSP,0.05102044056091617,0.07876796271424158,-0.04045874060125083
GTA,0.05187937045867598,0.03225784947732448,0.028285500121129667
GVR,0.06970475244087404,0.026282853472223474,-0.004333986566657186
HAG,0.04154787496311725,0.03706216780853203,0.060888561099058054
HAH,0.05059948932056988,0.015060710139534052,0.13703938957239015
HAP,0.06735004727959412,-0.02331941713837743,0.0597110490412088
HAR,0.06684246390797449,-0.015491251580599136,0.0063347414990185934
