Lookback,Batch_size,Train_RMSE,Train_MAE,Train_MAPE(%),Val_RMSE,Val_MAE,Val_MAPE(%),Train_samples,Val_samples,Train_period_start,Train_period_end,Val_period_start,Val_period_end,Best_Epoch
10,8,21.020046569713795,16.113007283373936,1.3953672282135314,19.42961138317838,15.346046390688517,1.2293805536585047,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,90
10,16,23.54520040864763,17.967910490434885,1.5585931071318961,23.76802155498102,20.129196797192577,1.5996593809405177,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,155
10,32,22.90011398738136,17.278339927296223,1.492601772304864,21.65894530717884,17.00129501714939,1.3663555648994048,526,123,2022-01-18,2024-02-29,2024-03-01,2024-08-26,146
20,8,21.65314956417207,16.625334458462028,1.4391360658986856,21.423996019477126,17.22396238249492,1.3812270455108389,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,96
20,16,23.107351981291007,17.64830516726472,1.5380609059692334,22.050336082591322,17.704762250698682,1.4204187257604168,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,92
20,32,24.55526044766281,18.704953447681994,1.6322387737170434,22.690253224427227,17.916654439786587,1.439861921744372,516,123,2022-02-08,2024-02-29,2024-03-01,2024-08-26,85
30,8,23.305932066584944,18.11523528208374,1.556738927035216,20.490518295550068,16.352049749110776,1.3117158816474657,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,65
30,16,22.69250588833893,17.1769834544065,1.4977097304946478,21.608645078207978,17.689542405043195,1.4160379263053655,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,141
30,32,25.919296548737464,19.513513521337696,1.7063931751894759,30.161754039724823,26.428307291666655,2.0900300322580097,506,123,2022-02-22,2024-02-29,2024-03-01,2024-08-26,40
45,8,23.710203360071002,18.121832004399504,1.5917652657973735,25.498043778079673,21.819379406440543,1.7275390308488852,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,14
45,16,25.825324916738765,19.56702363738703,1.715747743159283,26.31379193709011,22.647911545668187,1.7949687669423249,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,29
45,32,27.748744513966578,20.50058195964868,1.7894684894493713,27.084138084203758,23.37957396468495,1.8526030825241881,491,123,2022-03-15,2024-02-29,2024-03-01,2024-08-26,40
60,8,24.355528094973014,18.753594503963697,1.6391498456541487,26.891897460511395,23.04400339018038,1.8216772749066326,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,47
60,16,28.030393408556467,20.499761014024756,1.8024527075403398,30.371622146956433,26.5580366727007,2.0982271806361847,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,45
60,32,26.425660719550315,19.82602985285911,1.741256837221939,37.820809532562585,33.80313722688007,2.666344866404173,476,123,2022-04-05,2024-02-29,2024-03-01,2024-08-26,38
