,PC1,PC2,PC3,PC4,PC5,PC6
AAA,0.06700917607767062,0.011616626625357888,-0.03088534013242867,0.07656743064939282,-0.020823232303760306,0.05066379212288892
AAM,0.049913677371515364,-0.04723857044252765,-0.07284999528643776,0.042309673105792936,-0.047648488246566166,0.025130782129012715
AAT,0.06366134325850716,-0.04787062725310609,0.0566312798755595,0.028422574653798275,0.04374484441999829,0.012261032348024899
ABS,0.06556124263838257,-0.048931320436142386,0.02937001571573988,0.022544408018393497,0.032851707582423444,-0.006762056756812926
ACB,0.06286299548590314,0.04122394233387596,-0.03507221902727969,-0.06183537407658002,-0.019789718892220656,0.07885330944068521
ACC,0.05101992887777455,-0.04866677505322343,-0.023493780974151047,0.06243974644170122,0.10405794343605797,0.11292138818848892
ACG,0.06417954491555672,-0.043425510994689394,0.04943639260616501,0.0028104731291918594,0.03636209912102862,0.0022284221754560883
ACL,0.06448693854589424,-0.019463229978813036,0.05779941377646087,0.077946921242062,-0.02027063653912419,-0.009357646539972179
ADG,0.05513406788842836,-0.0579830648795365,-0.06833344514773879,0.06483231766553314,0.02959600583969515,-0.0063541621873836164
ADS,0.06806736793038531,0.007431714160889226,-0.0012840155943437842,0.04002420566649396,-0.049863934963759585,-0.08919793831163586
AFX,0.055571443722412316,-0.06568568894961847,0.007227202191729514,-0.006641036707535431,0.0058970177426141,-0.07645171901306706
AGG,0.06128381265923912,-0.058887600807130715,-0.01672985530947165,-0.03401366008904951,0.03767919414803835,-0.04121072018465657
AGR,0.05188559282478946,0.083322073309031,-0.04284622576299681,-0.01745596769248512,0.01722289422064174,-0.04140327552325608
ANV,0.05649683898190904,-0.056912311109480834,0.09006657924721187,0.03966979717182716,0.016510674751087084,0.02940191346127808
APG,0.05547733426999458,0.06572706783266945,-0.0615231588983883,-0.07059275471866784,-0.03391026719014521,0.029135418368752903
APH,0.06733209896489618,-0.03804490147715037,0.024976654203789677,0.04127753000615762,-0.01248773369123687,0.011247823778010122
ASG,0.05857768165413053,-0.0640747724158103,-0.01987427806668362,-0.06074740766258255,-0.0078783719103694,0.0056518048389034
ASM,0.06817471188127915,-0.02042108497902203,0.04531091537449372,0.0379257093079018,0.001058767261251113,0.012873816527223811
ASP,0.06597232060970194,-0.028661252956017725,-0.05419907991457148,0.0420781376313159,-0.021643391450818818,-0.03739387717256896
BAF,0.066242986518886,-0.006400348108196952,0.011781266522868006,-0.027078068126437746,-0.0317367440996624,0.015097885082942412
BCE,0.06940100576716833,-0.028529360197672382,-0.03608741696339507,-0.010024164395947794,-0.022111424291332622,-0.005987491773834372
BCG,0.06637945888918603,-0.03207550487042691,0.051937431524358674,0.05415483691579646,0.0071794136518409605,-0.017769051956291713
BCM,0.003312488365192054,-0.07841062386291812,-0.08173497878032479,0.05408235623582251,0.14581213270804075,0.1292119541271257
BFC,0.06407129892560826,0.03178225472934371,0.025133634416681795,-0.06287863463536493,-0.04120932977895091,0.04375333961915175
BHN,0.05947164979113209,-0.0709344976065976,0.0077591694736935165,-0.011215138750598699,-0.02180860111021594,0.02152580408084143
BIC,0.033974375264255945,0.037001141189528575,-0.0419538226382594,0.08335468687526174,-0.010114070146512267,0.16309922612413705
BID,0.046972630243240145,0.05176132630855218,-0.08517010665815604,-0.07686477838064734,0.0051382180340460845,0.14167087101983503
BKG,0.06877514657366875,-0.022398227197128612,0.026520125790132184,0.010622351636166838,0.029495408696010247,-0.045199448833658694
BMC,0.060101407710813126,0.040592971539652974,-0.04996275095624385,-0.07204458818122209,0.04423117178084188,0.07609872139981325
BMI,0.0676922402976889,-0.008869423183234287,-0.00897467133030061,0.03491398107466321,-0.03964340622327578,0.01923087686635978
BMP,-0.012171203636466682,0.12053044479549987,0.0333562931205019,0.025252833747304176,0.029366713165317162,0.015955670913275526
BRC,0.0665575648574897,0.02552888035995075,-2.711204522695555e-05,-0.0386218198272191,0.04647441973870257,-0.017381862801638677
BSI,0.02309767026615803,0.11727141314093223,0.03627461006852711,-0.024512722064450182,0.016566748711757506,0.020000765388070704
BSR,0.061960271054153464,0.0006475432463206408,0.0800137276476136,0.026345796365436935,-0.0030363692000653373,-0.013291192486875185
BTP,0.05458575108133388,0.05186596068812459,0.0013268029507035933,-0.06893111597788933,0.06473195442586985,0.03200439606854114
BVH,0.04996789533650848,-0.07486235777851277,-0.027050461829504713,0.007574198941961131,-0.0074236094915817175,0.10243245697669061
BWE,0.05828728663262,-0.022496365594785617,-0.037600945134973106,0.04267713301932159,-0.08129888489329991,0.027428933401396027
C32,0.05821413459769757,-0.06505955722550301,0.03750651378954851,0.05783841336813987,0.02248282426557362,0.03294502719912182
C47,0.06549127024934837,-0.029057710769871722,0.06578048659291184,0.036597155159922054,0.0068163719498541345,0.021761856432984394
CCL,0.0708640164447459,0.012377653715659076,-0.012950301668244353,-0.029525464503137172,0.015061726736771785,0.01337767744224843
CDC,-0.04286415766062333,0.07617457735140525,0.08780573423821834,0.0032535588481397387,0.04713378889193478,0.04331321890621748
CHP,-0.03896044247775909,0.08341200771635236,0.0926037004750875,0.030516750812768702,0.011410284461399613,0.09841918979485385
CIG,0.06856615746253009,0.022575662601576545,-0.011720837751826307,0.01595185220151474,0.01824891265314984,-0.05209151310134424
CII,0.06579309407234657,0.026495749224753496,0.011087253194118619,0.04898553132122869,0.08330734901929183,-0.007879381183949496
CKG,0.015995554081163616,0.037088378775754376,-0.13433735630490162,-0.005179784246479588,0.22461031637772763,-0.057464153366625345
CLC,0.0373122675237262,0.08740174885916126,0.05405533282888935,-0.014642079910896343,0.012405737769639852,0.09377754282004139
CLL,0.014574408419555842,0.12389897289872599,0.017880512096818985,-0.0068634251918049255,0.01541956706718412,-0.02750897242330534
CMG,0.048367174133893714,0.03658441232052677,0.12123884648059258,0.07957705461258359,-0.05181171787547938,0.05394946444785617
CMX,0.06567402573426599,-0.0334143093109255,0.03965483339767667,0.06381345319922553,-0.021460845791660695,0.00787668442834904
CNG,0.05682230234302465,0.0636203258694799,0.027879612559736165,0.04429355967813626,0.03128943400405713,-0.026160923690487572
CRC,0.06831941811647181,-0.002649727853025519,0.0054863918237434755,-0.0028292337902510456,-0.022485168163932076,0.002019118485546982
CRE,0.06451945429617156,-0.05081507656964456,0.016381885675029538,-0.025036330034700235,0.02668884955591682,-0.028689887717344233
CSV,0.06364086274012346,-0.03979980048063223,0.06291394856649145,-0.02731736995777064,0.02323210476330346,0.025795764123512924
CTF,-0.04380174785001546,0.07324638723281095,-0.06507304058453497,0.04520855865275024,-0.1172616869567281,0.046340043189284336
CTG,0.024886629771633886,0.09006436856269608,-0.06731842123793344,-0.05294707686959617,-0.04857533371212532,0.13857808712006273
CTI,0.06217801430667911,0.047945788224446284,-0.06843312412930536,-0.01824686752140502,0.018236260943159208,0.004587799556774211
CTR,0.03198604034710297,0.10025085244332188,0.07640024960397672,0.014155286916257025,-0.01139894727671741,0.07320217150057393
CTS,0.03379004637365116,0.10982868417412431,-0.023268358532142243,-0.01630515389173392,0.0322493384424402,-0.015350084464876661
D2D,0.07031945187344223,-0.01895316880207691,-0.01302834044345892,-0.03014431500166956,-0.014907793350245953,-0.0012439431496661997
DAH,0.06162581672564765,-0.04844627671649305,0.049847423376435045,0.048468746824982395,0.0032653912961235912,0.04556302799165822
DAT,0.06370105516556263,-0.04703514194777691,-0.00888891043748337,-0.009876009078541302,0.054891128144342945,0.028435669123746527
DBC,0.06477104060465999,0.04831490191917388,0.006586217851890064,-0.016197386336220386,0.04762986323974641,0.028090934613314127
DBD,0.02592536002705126,0.07938295557357769,0.12525216330728992,0.03299299760669991,0.021723448619527075,-0.15449632539718927
DBT,0.04219192392293251,0.07352424373183997,-0.0480966250842814,0.10493534795561424,0.10557599651669264,0.002188233293330875
DC4,0.06905219738560052,0.016597079796097133,-0.008538391793423073,-0.0234998700316217,-0.025988782095616746,-0.06660381084061798
DCL,0.06090302889616927,-0.02297665626012978,-0.062181447223597884,-0.06515523869838034,-0.07364169509093228,0.05190581212667601
DCM,0.05160866978302838,0.03269854736658183,0.08215867971226998,-0.0528977888134428,0.036944362182134156,-0.037978735796521994
DGC,0.037309154990017336,0.03526470819112514,0.17782605125902787,-0.0004139769378509276,-0.05803764867937868,-0.0483883740025614
DGW,0.06094571251209536,-0.031094671268530286,0.09346468600467903,-0.023668887119185838,0.06880034174871597,-0.023038828294674914
DHA,0.038761818308510027,0.10261471977478923,-0.019236923108675596,-0.009666659668547692,-0.05286982189799535,-0.04020077367619436
DHC,0.06661064120369892,-0.013226707158638891,0.04897768685573767,0.03190562382209141,-0.023676725260006196,-0.011546795563210265
DHG,0.020180131324670985,0.08807165483256794,-0.057319097375268704,0.14253229653659324,0.040805340850846035,-0.07424898980561574
DHM,0.0401792114513178,-0.08512932003749771,-0.03904044657374297,-0.07117265087545387,0.010438360263618947,0.09514841549975023
DIG,0.06866388794438893,-0.0011175220221645234,0.0600465488293147,0.015731145168923467,-0.00021628522363174166,-0.011322847222787777
DLG,0.06716744721552706,-0.029635009038516784,0.010585039135697388,0.06241489130988725,-0.0355066742045613,-2.768273103550986e-05
DMC,0.02241753323264156,0.10263885026887695,0.01988253622289696,0.06773083334788117,0.03142204359064503,-0.1490949063810008
DPG,0.06926402532968638,0.01692647180327324,-0.013857451399029564,-0.015470700041066527,-0.03192757219364184,-0.004399273041943625
DPM,0.04851130755365889,-0.03724953013032169,0.08238360790600031,0.014914138855045844,-0.009379835083242041,-0.024951258781060904
DPR,0.0671613129531886,0.022145221202519872,0.05178605023195288,-0.003945928692442387,-0.04353403591561136,-0.01082685233438228
DQC,0.06541288832863279,-0.03300727514693632,-0.04982672799060434,0.054151287889367745,-0.04596358168459705,0.007329265737702578
DRC,0.05548824907268712,0.03724388572084782,0.09164677688512983,-0.03698615590530999,-0.0032014981378966707,0.14525743037665814
DRL,0.030525447525809078,0.07231029107987821,0.02532402416268548,-0.10315181096760563,0.06066627529113245,0.054513266610288914
DSC,-0.03601916215220896,0.015392956865819077,-0.008441759927284027,-0.00644162862755127,0.28954356192520464,-0.04097561554310306
DSN,-0.018898659353455565,0.09313213829996406,-0.05151813723795637,0.06127313344051676,0.07813435180142249,0.16760676631761115
DTA,0.06885676828778091,-0.025900251248648903,-0.018844010253010086,0.011259957695220594,0.008287684586963223,-0.07059890108117144
DTL,0.05061838523193719,-0.04379306153767894,-0.1308052332550505,0.040226301140116806,-0.07228176520578913,-0.00016674733706954875
DVP,0.027037274040156694,0.11294780331942893,0.04499582305998935,-0.03187066138524624,0.00028730981871037426,-0.025571432806752684
