,DIG,TTF,BIC,TDG,ADS,FRT,NHA,NVT,DBT,HCD,SSB,DMC,MCH,NAV,PVD,DTA,NVL,HT1,VTB,SMB,PIT,NHH,PGC,GSP,CIG,HDB,VIP,BSR,HAR,NT2
DIG,1.0,0.8359707781984393,-0.16804179520086918,0.8375012125871156,0.8947868311839021,-0.19024120151829219,0.7308387880858354,0.8607619674316187,0.16718209992649227,0.589752858625332,0.5446917733094879,-0.05352593054787172,-0.1480653543971676,0.3797915877126383,0.1283092709679721,0.8004995633646289,0.779681856771307,0.6929037698805383,0.38418592962933024,0.09678478728231263,0.7448918033241283,0.6751971242281155,0.6506767902369974,0.14342391501768978,0.6639621924321053,-0.10022152421295959,-0.2980149738557984,0.6807458777649426,0.904213690750183,-0.18101712828237684
TTF,0.8359707781984393,1.0,-0.49491776074007054,0.8111013567236737,0.8699416002696042,-0.6222581326008663,0.4961835242298531,0.9094205469872927,-0.16464521933792692,0.21827314695764305,0.8402661166211179,-0.45424210658759856,-0.5087775260104739,0.22771620371775933,-0.28561400008048643,0.9330047485711398,0.8914294957820715,0.7858371836025209,0.6057115827545734,-0.03324812022428456,0.5782703108018321,0.4769114756684113,0.778537464746084,-0.2637339397530135,0.5259392082935176,-0.5267390642569091,-0.643172608113044,0.42932232924505287,0.9408153087263372,0.09110121187597538
BIC,-0.16804179520086918,-0.49491776074007054,1.0,-0.0034607321931543586,-0.31591173984760446,0.8778737252293587,0.38812337955394866,-0.189761738582353,0.693974480773914,0.41958712054165853,-0.5976514176730817,0.7568691332042291,0.9269730150765768,0.49904423975696643,0.33443054640667913,-0.43258589417608495,-0.390539159843289,-0.1972237660683712,-0.29693273800089875,0.5955173845332248,-0.0466871797085691,-0.1313687841115835,-0.07523976066176154,0.7845559671762922,0.19360339458172257,0.887926077911024,0.8245448033796364,0.30479167412938785,-0.3592109711713832,-0.5177541634254086
TDG,0.8375012125871156,0.8111013567236737,-0.0034607321931543586,1.0,0.8024324769413068,-0.16735807385640242,0.8003293023081816,0.919359724832563,0.24789571099418772,0.4983350233001481,0.5856695047375667,-0.03893602481346088,0.007143509414511552,0.5959931516636316,-0.17747545580269694,0.8224855518902813,0.8286172276145557,0.687540596428221,0.48055550185173734,0.35440258773427213,0.6444238568750594,0.444767311100994,0.8637832456281072,0.18638085686900743,0.7256015067494925,-0.049609624596041464,-0.2673881906254411,0.7370046573712021,0.798471986980281,-0.3582817162516706
ADS,0.8947868311839021,0.8699416002696042,-0.31591173984760446,0.8024324769413068,1.0,-0.38730435082456105,0.6771208633906027,0.819396115886554,0.09561803833083325,0.5240701834866123,0.6985528081052277,-0.14319142301254206,-0.33049930398022487,0.30114838882852857,0.06922869174960979,0.8937024670886737,0.7387588253096135,0.8270688082275586,0.4104746984553628,-0.02802454829327896,0.791935513396749,0.7175571314820492,0.6271318417991458,0.050898240093127545,0.6556750581282196,-0.29095082109375436,-0.3271624120739151,0.5558919831477335,0.9276682281473476,-0.019787301955299298
FRT,-0.19024120151829219,-0.6222581326008663,0.8778737252293587,-0.16735807385640242,-0.38730435082456105,1.0,0.22296670428307425,-0.35469177382936906,0.6322520168027461,0.4330903247071748,-0.7857704035963313,0.8398351623745831,0.9295379249004516,0.34233101947477357,0.5232591462313079,-0.5952202914384507,-0.4981418446116242,-0.3973177693004401,-0.494036509669185,0.4109301346775881,-0.07498434731451432,-0.09759584464926967,-0.30234992819893924,0.7828742387327857,0.039607984660687885,0.940837106913626,0.8241015308746809,0.3163375028200657,-0.4723314044712671,-0.553467952866863
NHA,0.7308387880858354,0.4961835242298531,0.38812337955394866,0.8003293023081816,0.6771208633906027,0.22296670428307425,1.0,0.6850781825177833,0.5803563013327695,0.8158414945054225,0.30538598076319123,0.34280326335820555,0.3803044461837596,0.7528947788122754,0.22266346753848743,0.5935652924402824,0.499428874585051,0.6163103879490756,0.2948174391526328,0.5506694226811557,0.6764119294596125,0.5935916346078812,0.6448286828983754,0.6229674849406686,0.822640045053175,0.3580201223548271,0.22894894958508846,0.7425883676221602,0.6093344486512513,-0.4760098833794212
NVT,0.8607619674316187,0.9094205469872927,-0.189761738582353,0.919359724832563,0.819396115886554,-0.35469177382936906,0.6850781825177833,1.0,0.033277984169109626,0.3760394951119333,0.6875101694218237,-0.2557435180609249,-0.20441351129202587,0.46721220070475056,-0.23980511436265406,0.8830006458333973,0.8826192355796472,0.7372939879413734,0.5926955602111758,0.2289695550109348,0.6112641365258682,0.4493832584854294,0.8598488095043186,-0.011145093226955616,0.6519010253792297,-0.2669050436036958,-0.44143632428688884,0.6076681952432142,0.8833881862728558,-0.16749841323537898
DBT,0.16718209992649227,-0.16464521933792692,0.693974480773914,0.24789571099418772,0.09561803833083325,0.6322520168027461,0.5803563013327695,0.033277984169109626,1.0,0.6314767819465017,-0.26743135844513716,0.7985670401419733,0.6706325999582746,0.3638325667536082,0.5321560927471786,-0.07507998693872527,-0.20118082480992658,0.21013759793912104,-0.31290432670982,0.401133034566178,0.2471095614351078,0.2375568709630777,0.038174331410860816,0.8318474381858252,0.48987203415748276,0.7476307429248622,0.7400988673914131,0.49178044319022934,-0.003050826376391446,-0.3193396750822066
HCD,0.589752858625332,0.21827314695764305,0.41958712054165853,0.4983350233001481,0.5240701834866123,0.4330903247071748,0.8158414945054225,0.3760394951119333,0.6314767819465017,1.0,0.06471616535784096,0.49283728984341185,0.44436403984037925,0.5984440885654274,0.5894784969161095,0.30364672050748015,0.1842482680711974,0.4439890970594889,0.03421312699666746,0.35762133134709684,0.6269402366889341,0.7206540738249632,0.23475232144066652,0.7347552899608146,0.5975248251666725,0.5292493328974107,0.4308198566758989,0.6553523505752541,0.40521949963432286,-0.4660504894262406
SSB,0.5446917733094879,0.8402661166211179,-0.5976514176730817,0.5856695047375667,0.6985528081052277,-0.7857704035963313,0.30538598076319123,0.6875101694218237,-0.26743135844513716,0.06471616535784096,1.0,-0.5652438708683277,-0.6523484289160087,0.11583466528908207,-0.35312360823092154,0.8614068542938422,0.7538084530385163,0.7020812072529281,0.6203586188643947,-0.019888486993817494,0.4373280521814891,0.4045712007936635,0.6682733900445096,-0.38415274445426456,0.38772010678177105,-0.6704493421721532,-0.6447972469239561,0.12728713841239914,0.7306455092595863,0.23837266717172254
DMC,-0.05352593054787172,-0.45424210658759856,0.7568691332042291,-0.03893602481346088,-0.14319142301254206,0.8398351623745831,0.34280326335820555,-0.2557435180609249,0.7985670401419733,0.49283728984341185,-0.5652438708683277,1.0,0.7752330231175651,0.26898529854129516,0.586995248043957,-0.36081234027353903,-0.4376617150284418,-0.13123922479756855,-0.5557718554584619,0.35391087649357883,0.20207193053876477,0.08135408058114661,-0.21651209240169655,0.8462324517502072,0.30228581331982657,0.8413981241591483,0.8367205077294505,0.3762230965775526,-0.3041841760560296,-0.4200503765494584
MCH,-0.1480653543971676,-0.5087775260104739,0.9269730150765768,0.007143509414511552,-0.33049930398022487,0.9295379249004516,0.3803044461837596,-0.20441351129202587,0.6706325999582746,0.44436403984037925,-0.6523484289160087,0.7752330231175651,1.0,0.5401649380506122,0.32000132842589857,-0.45777660745401166,-0.35278330359150867,-0.2953600099866604,-0.3029264476033988,0.6275725044285089,-0.06041806631304414,-0.14152611363518744,-0.059119597553836924,0.8097616530307356,0.19477313888285644,0.9379237522956057,0.7917975089338364,0.388548698972218,-0.3945895372393595,-0.6562973827575099
