P,Q,Status,Num_Params,AIC,BIC,HQIC,RMSE_val,MAE_val,MAPE_val(%),R2_val
1,1,OK,6,4406.613550114462,4436.536884263155,4418.325047946019,13.025270927410634,9.443436373613174,0.7562932415194459,0.7675875209351232
1,2,OK,10,4401.15935343229,4448.181735665951,4419.563135739024,13.91823985268464,10.580197599051726,0.8465712644838909,0.7346283375700682
1,3,OK,14,4407.696676319546,4471.818106638175,4432.792743101456,14.005954909308452,10.58858882239374,0.8476477810410799,0.731272965240485
1,4,OK,18,4409.591946859637,4490.812425263233,4441.380298116723,13.744636590572336,10.208153866518396,0.8184029169963047,0.7412070534535004
1,5,OK,22,4412.102211432998,4510.421737921562,4450.58284716526,13.799833991293855,10.245399829290594,0.8215971532235636,0.7391242946984168
2,1,OK,7,4406.452163865123,4440.650260035059,4419.836732815475,13.205987509968768,9.608580590122902,0.7695952706145333,0.7610936591066947
2,2,OK,11,4401.545317922932,4452.842462177835,4421.622171348459,13.863461473504673,10.52482625385505,0.8422745137255947,0.7367130873093968
2,3,OK,15,4407.780536911055,4476.176729250926,4434.549674811758,13.977791053503006,10.544965624073283,0.844377732788768,0.7323526174404258
2,4,OK,19,4409.843802504704,4495.339042929542,4443.305224880583,13.727313328278964,10.171783174004288,0.8157757822312385,0.741858989627651
2,5,OK,23,4412.450149316878,4515.044437826685,4452.603856167934,13.767202059526753,10.219496600104913,0.8197791807103073,0.7403566012876304
3,1,OK,8,4407.611951945814,4446.084810136992,4422.6695920149605,13.26521505201572,9.634856353358582,0.7719062802460988,0.7589459112547814
3,2,OK,12,4401.88523064113,4457.457136917275,4423.635155185452,13.923163952659712,10.514392746052916,0.8418429560848314,0.7344405339741796
3,3,OK,16,4409.03102089075,4481.701975251864,4437.473229910248,13.940270119614167,10.527924192600372,0.8430225708776091,0.7337875939975474
3,4,OK,20,4411.3633583163655,4501.133360762447,4446.497851811039,13.694874650315503,10.162851370005807,0.8150440858568108,0.7430775615359575
3,5,OK,24,4414.040433122153,4520.909483653202,4455.867211092003,13.735796412055365,10.194838139522917,0.8178281486041392,0.7415398436460323
4,1,OK,9,4409.171748509678,4451.919368722097,4425.902459697618,13.29348059897205,9.62479479252996,0.7709993233013859,0.7579175397169204
4,2,OK,13,4403.07730003915,4462.923968336537,4426.500295702266,13.992455088832504,10.53679873903395,0.8435093764398623,0.7317907476287429
4,3,OK,17,4409.953001564348,4486.898717946702,4440.06828170264,14.053746429738723,10.57628815610438,0.8467566535647999,0.7294359202027607
4,4,OK,21,4412.398856808073,4506.443621275395,4449.206421421541,13.747346446872111,10.224547871293664,0.8198590009848652,0.7411049975243638
4,5,OK,25,4414.502167534564,4525.645980086854,4458.002016623208,13.846474007891192,10.28734375350944,0.8250860497206308,0.7373579244113687
5,1,OK,10,4411.037072308105,4458.059454541766,4429.440854614839,13.323522177508329,9.647617327216892,0.7728716132580751,0.7568221521400762
5,2,OK,14,4404.863151209607,4468.984581528236,4429.959217991517,14.035525788341667,10.56254974493875,0.8455842162243854,0.7301370364963763
5,3,OK,18,4411.633247819492,4492.853726223088,4443.421599076578,14.11415532258677,10.618112975086031,0.8500997053232549,0.7271049255043247
5,4,OK,22,4414.27265703738,4512.592183525944,4452.753292769642,13.793990885122517,10.2603056161734,0.8226891333208654,0.7393451671713629
5,5,OK,26,4416.501377345547,4531.919951919079,4461.674297552984,13.844752613769511,10.286173992850037,0.8249917045972449,0.7374232236957308
