Symbol,n_outliers,min_val,max_val,mean_val
AAA,42,6410.0,8880.0,7900.714285714285
NHH,42,10050.0,14100.0,12492.857142857143
LDG,42,1600.0,2300.0,1968.5714285714287
LGL,42,2880.0,3380.0,3144.7619047619046
LHG,42,24300.0,37100.0,31851.190476190477
LIX,42,26000.0,32850.0,30592.85714285714
LSS,42,8470.0,11050.0,10234.047619047618
MSB,42,8333.33,10166.66,9526.782142857142
MSH,42,39250.0,61700.0,52661.90476190476
MSN,42,50300.0,71100.0,64152.380952380954
NAB,42,12360.0,15000.0,13486.666666666666
NAF,42,16272.7,19772.7,18521.64285714286
NBB,42,20400.0,22950.0,21775.0
NCT,42,95000.0,115900.0,109035.71428571429
NLG,42,25950.0,35300.0,31584.52380952381
LBM,42,26000.0,33950.0,30142.34761904762
NNC,42,28050.0,32450.0,30189.285714285714
OCB,42,8378.67,10056.17,9549.486904761905
OGC,42,3780.0,5500.0,4702.380952380952
PAC,42,18128.4,25814.3,22416.1
PAN,42,20600.0,28350.0,25335.714285714286
PGC,42,13500.0,15800.0,15127.380952380952
PHC,42,4600.0,5560.0,5260.238095238095
PHR,42,40850.0,68000.0,56876.19047619047
PIT,42,6300.0,6940.0,6580.0
PLX,42,30950.0,44500.0,38504.76190476191
PNJ,42,62800.0,94200.0,81038.09523809524
PTC,42,5120.0,6080.0,5640.952380952381
LCG,42,7467.3,10280.4,9257.004761904762
LAF,42,15500.0,22600.0,18615.47857142857
PVS,42,20000.0,33271.0,27892.730952380953
HPG,42,17750.0,23458.3,21984.123809523808
GMD,42,42200.0,61500.0,54284.52380952381
GSP,42,8876.1,11688.3,10850.27619047619
GVR,42,22300.0,34950.0,29783.333333333332
HAH,42,34303.1,48884.8,40448.16904761905
HAX,42,13350.0,18000.0,15746.42857142857
HCM,42,23700.0,32450.0,29109.52380952381
HDB,42,14033.5,18351.5,16913.957142857143
HDC,42,18705.4,24910.7,21949.414285714287
HHP,42,8340.0,9290.0,8837.857142857143
HHS,42,8240.0,11300.0,9652.619047619048
HID,42,2500.0,2860.0,2710.2380952380954
HII,42,3900.0,4700.0,4435.238095238095
HQC,42,2540.0,3470.0,3125.9523809523807
KSB,42,13950.0,20950.0,17777.380952380954
HTG,42,35700.0,50200.0,44403.57142857143
HTI,42,16950.0,19000.0,18094.04761904762
HTN,42,7710.0,11550.0,9879.285714285714
HUB,42,13478.3,15826.1,15169.766666666668
HVH,42,9220.0,15400.0,11601.904761904761
ICT,42,11300.0,14100.0,13465.47619047619
IJC,42,10550.0,15950.0,13307.142857142857
ILB,42,25900.0,34350.0,30051.807142857142
ITD,42,10373.8,13925.2,12407.645238095238
KBC,42,20600.0,30650.0,26894.04761904762
KHP,42,9200.0,11400.0,10513.333333333334
KOS,42,38450.0,39500.0,38776.19047619047
PVP,42,12850.0,16800.0,15146.42857142857
PVT,42,14090.9,20227.3,17826.483333333334
GDT,42,18400.0,23950.0,22092.85714285714
VJC,42,79100.0,99100.0,92004.76190476191
TVB,42,5950.0,8300.0,7470.238095238095
TYA,42,12150.0,17600.0,15429.761904761905
VAB,42,5886.63,7407.89,6867.734047619048
VCA,42,9850.0,13600.0,11585.238095238095
VCF,42,212200.0,280000.0,244921.42857142858
VCI,42,32050.0,39450.0,37545.23809523809
VDS,42,12045.5,18909.1,16117.961904761905
VIB,42,14301.0,17803.0,16427.714285714286
VIC,42,20600.0,35500.0,28184.52380952381
VID,42,5010.0,5440.0,5189.285714285715
VIP,42,12050.0,16000.0,13908.333333333334
VIX,42,9952.4,12333.3,11530.611904761905
VNE,42,2360.0,3300.0,2910.2380952380954
TTF,42,2340.0,3200.0,2866.904761904762
VNG,42,7350.0,8500.0,7940.952380952381
VNL,42,16450.0,21350.0,19645.123809523808
VOS,42,11250.0,16600.0,14628.57142857143
VPD,42,24200.0,26900.0,25777.380952380954
VPG,42,9170.0,12700.0,11579.52380952381
VPH,42,5200.0,6780.0,6106.190476190476
VPI,42,52000.0,59500.0,56650.0
VRC,42,11250.0,15800.0,13776.190476190477
VRE,42,17400.0,23650.0,19464.285714285714
VSC,42,13950.0,22400.0,17815.47619047619
VTP,42,96800.0,158300.0,129771.42857142857
YBM,42,10550.2,14786.3,12469.407142857142
TV2,42,27900.0,35900.0,32870.23809523809
TTA,42,8914.29,12285.71,10873.01738095238
QCG,42,8650.0,13400.0,11359.285714285714
SMC,42,5700.0,9220.0,6768.571428571428
RAL,42,102900.0,128400.0,117393.57142857143
REE,42,53043.5,65217.4,60668.72142857142
SAB,42,42600.0,52000.0,49245.23809523809
SAM,42,6000.0,7630.0,6881.428571428572
SBG,42,10700.0,13200.0,12384.52380952381
SBT,42,13550.0,17000.0,15321.42857142857
SCR,42,5070.0,6900.0,6183.809523809524
SGN,42,63000.0,97000.0,81538.09523809524
SHI,42,13809.5,15047.6,14080.5
SHP,42,34000.0,37500.0,35841.71428571428
SJS,42,31042.5,41698.8,37279.811904761904
SKG,42,8960.0,12850.0,11274.285714285714
STK,42,13000.0,18793.1,16693.757142857143
TSC,42,2550.0,3140.0,2746.190476190476
TAL,42,21006.46,26683.88,24133.549523809525
TCD,42,1840.0,4300.0,2567.6190476190477
TCI,42,7490.0,9960.0,8697.619047619048
TCL,42,32000.0,44900.0,38705.29761904762
TCM,42,27800.0,41095.1,35535.409523809525
TDC,42,9540.0,13300.0,11491.42857142857
TDG,42,3110.0,4230.0,3786.4285714285716
TIP,42,16900.0,22800.0,20502.380952380954
TLD,42,5380.0,6410.0,6112.857142857143
TNI,42,1780.0,2380.0,2129.5238095238096
TPB,42,10387.4,14826.5,12833.123809523808
TRC,42,59100.0,85100.0,74157.14285714286
GEE,42,48783.86,78166.79,58149.57023809524
MIG,42,13266.0,17163.0,15656.119047619048
GAS,42,47861.0,65102.2,59799.27857142858
D2D,42,36700.0,43000.0,39923.80952380953
CLL,42,32050.0,36000.0,34695.23809523809
CMG,42,26227.3,40545.5,34088.759523809524
CNG,42,26000.0,31700.0,29767.85714285714
CSM,42,10000.0,15800.0,13122.619047619048
CTD,42,60521.9,90359.2,78019.99047619048
CTF,42,18750.0,22100.0,20471.428571428572
CTG,42,23181.1,29250.7,27362.247619047615
CTI,42,17200.0,23400.0,20603.571428571428
CTR,42,73900.0,120400.0,99195.23809523809
CTS,42,30500.0,40550.0,36579.76190476191
DAH,42,2800.0,3700.0,3317.1428571428573
CII,42,9210.5,12675.4,11574.766666666666
DBC,42,19087.0,26957.0,24583.85714285714
DC4,42,10750.0,14300.0,12739.285714285714
