P,Q,Status,Num_Params,AIC,BIC,HQIC,RMSE_val,MAE_val,MAPE_val(%),R2_val
1,1,OK,13,4387.199215970139,4447.045884267526,4410.622211633256,15.014295084558944,11.202425048798213,0.8959408637697527,0.6911868350412119
1,2,OK,24,4390.01214533207,4496.881195863119,4431.83892330192,15.157341858274217,11.351593680321136,0.9084865351149712,0.6852744480519964
1,3,OK,35,4400.291732744327,4554.183165509037,4460.522293020911,16.550205140268794,12.46343166922371,0.9979183508529403,0.6247742150811761
1,4,OK,46,4401.928350358239,4602.84216535661,4480.562692941557,17.919009542178554,13.71110576569092,1.0989932398448028,0.5601405632614541
1,5,OK,57,4412.438471939329,4660.374669171361,4509.476596829381,18.569841594129375,14.319272989576712,1.1476581032262019,0.5276082433214071
2,1,OK,14,4387.550895184634,4451.672325503263,4412.646961966544,15.168877357132779,11.336880216517498,0.9066429969540154,0.6847952218417718
2,2,OK,25,4391.926199662137,4503.070012214427,4435.426048750781,15.104748903734048,11.286891898057991,0.9034228859771528,0.6874547287541415
2,3,OK,36,4401.998523231633,4560.164718017585,4463.9021546270105,16.467029738205017,12.348243039406505,0.9889306235893892,0.62853623872242
2,4,OK,47,4403.740249285954,4608.928826305567,4484.047662988065,17.834281807533547,13.619052482521795,1.091812520701709,0.5642903667849339
2,5,OK,58,4414.172601887022,4666.3835611402965,4512.883797895868,18.480471182127495,14.227618183784932,1.1405254464792207,0.5321442277076126
3,1,OK,15,4387.919425465967,4456.315617805838,4414.688563366671,15.333906711914311,11.4812588570498,0.9185013131168852,0.6778993910817084
3,2,OK,26,4391.905817550682,4507.324392124214,4437.078737758119,15.209304016761319,11.327628145483596,0.9071434110092532,0.6831128749853386
3,3,OK,37,4403.985981972515,4566.4269387797085,4467.562684486687,16.523010498875077,12.402533569762515,0.9932466190170561,0.6260063142684085
3,4,OK,48,4405.5066686320615,4614.970007672917,4487.4871534529675,17.615175248884103,13.399903333595738,1.0743980877495731,0.5749305934077344
3,5,OK,59,4415.91951024289,4672.405231517407,4516.30377737053,18.26505293353769,14.009450636365058,1.1231887312027458,0.5429878117351368
4,1,OK,16,4389.8679896305775,4462.538943991691,4418.310198650075,15.327952519157828,11.477800487097095,0.9181925263603482,0.6781494873938614
4,2,OK,27,4393.627681461224,4513.321018055998,4440.473672787456,15.19906455943512,11.326942475256736,0.9070413475532992,0.6835394112617607
4,3,OK,38,4405.211197891524,4571.926916719959,4470.46097152449,16.55891319800829,12.461187834111678,0.9978393737243354,0.6243792535222603
4,4,OK,49,4407.472334883319,4621.210435945415,4491.125890823018,17.699425524305465,13.489515962804127,1.0815021251618375,0.5708548058185182
4,5,OK,60,4417.620065706566,4678.380549002324,4519.677403952999,18.51827995598586,14.261822841165005,1.1431951781956031,0.5302279185688183
5,1,OK,17,4391.849706306798,4468.7954226891525,4421.96498644509,15.33165313529464,11.476308804487246,0.9180584647706796,0.6779940603757154
5,2,OK,28,4395.618986029667,4519.587084645684,4444.138048474693,15.20192159892801,11.326639704288405,0.9070080861178017,0.6834204269158243
5,3,OK,39,4407.187473448762,4578.1779542984395,4474.110318200522,16.543083703662543,12.450703580976532,0.9970077584068848,0.6250970596277853
5,4,OK,50,4409.369925983549,4627.382789066888,4494.696553042043,17.70080214122302,13.492926316510141,1.0817584707904633,0.5707880475491234
5,5,OK,61,4419.390989442535,4684.426234759535,4523.1213988077625,18.729180627695104,14.477279998060839,1.1602960342066453,0.5194667224957898
