,PC1,PC2
AAA,0.06700917607767073,0.011616626625356967
AAM,0.04991367737151465,-0.047238570442528736
AAT,0.06366134325850649,-0.04787062725310746
ABS,0.06556124263838183,-0.048931320436143476
ACB,0.06286299548590377,0.04122394233387534
ACC,0.05101992887777389,-0.04866677505322474
ACG,0.06417954491555608,-0.04342551099469053
ACL,0.06448693854589395,-0.019463229978814823
ADG,0.05513406788842753,-0.05798306487953679
ADS,0.06806736793038547,0.0074317141608885
AFX,0.055571443722411365,-0.06568568894961975
AGG,0.061283812659238254,-0.05888760080713187
AGR,0.051885592824790654,0.08332207330903073
ANV,0.056496838981908264,-0.05691231110948279
APG,0.0554773342699955,0.06572706783266946
APH,0.06733209896489563,-0.03804490147715188
ASG,0.05857768165412962,-0.0640747724158111
ASM,0.06817471188127887,-0.020421084979022692
ASP,0.06597232060970151,-0.02866125295601821
BAF,0.06624298651888591,-0.006400348108198118
BCE,0.06940100576716791,-0.028529360197673038
BCG,0.0663794588891856,-0.032075504870428304
BCM,0.0033124883651909232,-0.07841062386291664
BFC,0.06407129892560876,0.0317822547293431
BHN,0.05947164979113106,-0.07093449760659853
BIC,0.03397437526425647,0.037001141189527784
BID,0.046972630243240866,0.051761326308551715
BKG,0.0687751465736684,-0.022398227197129944
BMC,0.060101407710813674,0.040592971539652585
BMI,0.06769224029768883,-0.008869423183235005
BMP,-0.012171203636464959,0.12053044479550015
BRC,0.06655756485749012,0.025528880359949553
BSI,0.02309767026615971,0.11727141314093162
BSR,0.061960271054153485,0.0006475432463197574
BTP,0.054585751081334656,0.051865960688125025
BVH,0.04996789533650742,-0.07486235777851409
BWE,0.058287286632619735,-0.022496365594786412
C32,0.05821413459769664,-0.06505955722550419
C47,0.065491270249348,-0.02905771076987264
CCL,0.07086401644474606,0.012377653715657924
CDC,-0.042864157660622224,0.07617457735140436
CHP,-0.038960442477757845,0.08341200771635296
CIG,0.06856615746253042,0.02257566260157583
CII,0.06579309407234701,0.026495749224752223
CKG,0.015995554081164157,0.03708837877575542
CLC,0.03731226752372745,0.08740174885916042
CLL,0.014574408419557608,0.12389897289872547
CMG,0.048367174133894276,0.03658441232052478
CMX,0.06567402573426555,-0.03341430931092683
CNG,0.05682230234302558,0.06362032586947908
CRC,0.06831941811647183,-0.0026497278530263034
CRE,0.06451945429617087,-0.050815076569645776
CSV,0.06364086274012291,-0.03979980048063408
CTF,-0.04380174785001443,0.07324638723281249
CTG,0.024886629771635183,0.09006436856269588
CTI,0.06217801430667983,0.04794578822444606
CTR,0.031986040347104394,0.1002508524433206
CTS,0.03379004637365276,0.10982868417412432
D2D,0.07031945187344203,-0.018953168802077817
DAH,0.06162581672564695,-0.04844627671649405
DAT,0.06370105516556197,-0.04703514194777819
DBC,0.06477104060466067,0.048314901919172995
DBD,0.025925360027052393,0.07938295557357569
DBT,0.042191923922933576,0.0735242437318401
DC4,0.06905219738560073,0.016597079796095926
DCL,0.06090302889616897,-0.022976656260129697
DCM,0.05160866978302886,0.032698547366580746
DGC,0.037309154990017836,0.03526470819112318
DGW,0.06094571251209494,-0.03109467126853177
DHA,0.038761818308511484,0.10261471977478905
DHC,0.06661064120369874,-0.013226707158640773
DHG,0.020180131324672244,0.08807165483256771
DHM,0.040179211451316595,-0.08512932003749789
DIG,0.06866388794438888,-0.0011175220221662002
DLG,0.06716744721552668,-0.02963500903851779
DMC,0.022417533232643012,0.10263885026887574
DPG,0.06926402532968666,0.016926471803273148
DPM,0.048511307553658345,-0.037249530130323054
DPR,0.06716131295318893,0.022145221202518182
DQC,0.06541288832863233,-0.033007275146936806
DRC,0.05548824907268768,0.03724388572084654
DRL,0.030525447525810094,0.07231029107987834
DSC,-0.03601916215220869,0.01539295686581938
DSN,-0.01889865935345425,0.09313213829996414
DTA,0.0688567682877805,-0.02590025124864989
DTL,0.05061838523193654,-0.043793061537678375
DVP,0.027037274040158314,0.11294780331942837
DXG,0.06724513647229517,0.006410021986102298
DXS,0.0675201334762644,-0.023236178693190754
DXV,0.0656910666115916,-0.03821422357455119
EIB,0.059915723293232435,-0.03300036833198612
ELC,0.024287652133671823,0.1132017460766273
EVE,0.029606447793450976,0.06519978641804867
EVF,0.047271551630879594,0.07921813799572865
EVG,0.06799059685184287,0.00887980320865302
FCM,0.06786925262841961,0.01701066711901911
FCN,0.06319670073304567,0.043552070166651004
FIR,-0.024671221063745825,-0.09489576114633357
FIT,0.06826940080067605,-0.01596363746423104
FMC,0.0619814999820783,0.022637425064612058
FPT,-0.005871199694992381,0.10883253490630064
FRT,0.006790917793075037,0.09271666811251117
FTS,0.048978020910890215,0.08699942741872238
GAS,0.02751870316994972,-0.06887576938945957
GDT,0.0552606359669359,-0.07645340748075029
GEE,0.06494176535715276,0.0188061358590765
GEX,0.06502378857543595,0.04650174660939662
GMD,0.02758571653325874,0.0810744807446981
GSP,0.05102044056091701,0.07876796271424094
GTA,0.051879370458676355,0.032257849477323706
GVR,0.06970475244087435,0.0262828534722227
HAG,0.04154787496311764,0.03706216780853324
HAH,0.05059948932057003,0.015060710139533176
HAP,0.06735004727959387,-0.023319417138378082
HAR,0.06684246390797426,-0.015491251580599321
HAX,0.06232104515701667,0.006767030966532387
HCD,0.06299110577862953,0.04272722257460257
HCM,0.04816583164906059,0.059600316561022396
HDB,0.03583772896746841,0.09832790272281856
HDC,0.06498001367543724,0.02278760511816914
HDG,0.06625282721769962,-0.014209982325791962
HHP,0.03608286531948082,0.08624160752323977
HHS,0.06395704850682969,0.0485191596739001
HHV,0.0532067456450404,0.07904336792139713
HII,0.06911253503891772,-0.019956162296690453
HMC,0.06503250031780368,-0.04115517306037081
HNA,-0.04230523457259602,0.06348946071842598
HPG,0.058758963411444966,0.06516129589722643
HPX,0.05830120262159513,-0.06265558106709644
HQC,0.06488887983716672,0.017777925357507524
HSG,0.055393384122358426,0.07027439010549558
HSL,0.05514409742751911,0.055406014067486645
HT1,0.05851001357053808,0.010524537282304446
HTG,0.06249949549127864,0.04240266627731584
HTI,0.0572039146189649,0.04510805730780055
HTL,0.0606674857785724,-0.05095206371036487
HTN,0.06464091077261733,-0.042088742240077866
HUB,0.06900521805645923,0.015459817374546577
HVH,0.06612177108378314,0.005681549656904925
HVN,0.06666650035288404,-0.021184089897645333
HVX,0.0691138701011227,-0.02544175431380601
ICT,0.060490169130229365,-0.0588337109779612
IJC,0.06848833541502661,0.02520837430215178
ILB,0.05464799225304104,-0.014720732614388447
IMP,0.06241122959817162,-0.05183549776140397
ITC,0.05710934827179197,0.03710634143188524
ITD,0.043804032515214426,-0.01569693001221401
JVC,0.06743818695923338,-0.030818897071050278
KBC,0.0628955864660288,0.04299857570779306
KDC,-0.0106355077824761,-0.02040449672637656
KHG,0.06830608789951735,-0.011274041045561843
KHP,0.06643533692617648,0.02805421867655652
KMR,0.0681490535228345,-0.00494309619070003
KOS,-0.04401739476592889,0.08306521583664819
KSB,0.061926721023916276,0.042464185976021133
LBM,0.06190630398362587,-0.047412100572635
LCG,0.04755993895192333,0.06956529969370427
LDG,0.0643809400017383,-0.05506317661758674
LGL,0.0708766663823655,-0.004111835080402958
LHG,0.06859193707242622,0.027317601025845774
LIX,0.06031526768124459,-0.04141417918442436
LPB,0.034315425904590045,0.10440048053117294
LSS,0.05520008376234484,0.06457088985096643
MBB,0.05836334579499411,0.06233940733237559
MCH,0.06296473363304808,0.02406506680131904
MHC,0.05419785168504818,0.06828258729690602
MIG,0.05412209918924942,-0.006535847700323348
MSB,0.0662308664464367,0.01728932868634179
MSH,0.06535276541681374,0.0011873596262854571
MSN,0.05488453296695022,-0.07278911491415395
MWG,0.06275646413304309,-0.04357755978640936
NAB,0.021402771846515938,0.12093422698769617
NAF,0.0599506440477154,0.06017213026470111
NAV,0.05829810657183448,-0.04053873328844273
NBB,0.060582333637598546,0.04621204761991248
NCT,-0.006263802379437478,0.09410714764018353
NHA,0.07059071082446096,0.00043016903627268407
NHH,0.052658457749867514,0.06280491290546489
NKG,0.06886050763647861,0.011916349409054698
NLG,0.06813059738760241,0.02916498516724808
NNC,0.05625243163480719,0.022830351782827683
NSC,0.05929798675424225,-0.024432699051766746
NT2,-0.039474683431851045,0.035697539270369484
NTC,0.04794878111182602,0.08470094432828328
NTL,0.06918700090908056,-0.02025384511452792
NVL,0.05733736557328851,-0.0640171815260117
NVT,0.06486807058766948,-0.04371432967932354
