Symbol,missing_ratio,reason
QNP,0.9782082324455206,missing_ratio > threshold
RAL,0.9382566585956417,missing_ratio > threshold
RYG,0.8983050847457628,missing_ratio > threshold
DSE,0.7736077481840193,missing_ratio > threshold
MCM,0.7336561743341404,missing_ratio > threshold
SBG,0.7058111380145279,missing_ratio > threshold
PGI,0.7021791767554479,missing_ratio > threshold
VSI,0.6937046004842615,missing_ratio > threshold
CLW,0.6924939467312349,missing_ratio > threshold
TTE,0.6815980629539952,missing_ratio > threshold
TDW,0.6755447941888619,missing_ratio > threshold
TAL,0.6549636803874092,missing_ratio > threshold
DTT,0.6331719128329297,missing_ratio > threshold
SVI,0.6307506053268765,missing_ratio > threshold
AST,0.6113801452784504,missing_ratio > threshold
VHC,0.6113801452784504,missing_ratio > threshold
KDH,0.5956416464891041,missing_ratio > threshold
STK,0.5823244552058111,missing_ratio > threshold
TLG,0.5786924939467313,missing_ratio > threshold
PTB,0.5714285714285714,missing_ratio > threshold
TCM,0.5702179176755447,missing_ratio > threshold
PNC,0.5544794188861986,missing_ratio > threshold
TCL,0.5520581113801453,missing_ratio > threshold
VNS,0.5290556900726392,missing_ratio > threshold
VPH,0.5024213075060533,missing_ratio > threshold
CTD,0.46973365617433416,missing_ratio > threshold
MDG,0.4648910411622276,missing_ratio > threshold
TIX,0.4515738498789346,missing_ratio > threshold
TNC,0.4443099273607748,missing_ratio > threshold
HRC,0.4406779661016949,missing_ratio > threshold
SFC,0.423728813559322,missing_ratio > threshold
SSC,0.41041162227602906,missing_ratio > threshold
PMG,0.38619854721549635,missing_ratio > threshold
CVT,0.3837772397094431,missing_ratio > threshold
COM,0.3789346246973366,missing_ratio > threshold
S4A,0.37409200968523004,missing_ratio > threshold
FDC,0.3704600484261501,missing_ratio > threshold
LM8,0.35108958837772397,missing_ratio > threshold
SVC,0.34019370460048426,missing_ratio > threshold
HU1,0.3353510895883777,missing_ratio > threshold
SMA,0.33171912832929784,missing_ratio > threshold
PDN,0.3305084745762712,missing_ratio > threshold
HAS,0.3135593220338983,missing_ratio > threshold
SC5,0.31234866828087166,missing_ratio > threshold
STG,0.3099273607748184,missing_ratio > threshold
NO1,0.30145278450363194,missing_ratio > threshold
VCG,0.30024213075060535,missing_ratio > threshold
ABR,0.30024213075060535,missing_ratio > threshold
DRH,0.2917675544794189,missing_ratio > threshold
VCF,0.29055690072639223,missing_ratio > threshold
VAF,0.2845036319612591,missing_ratio > threshold
SPM,0.28087167070217917,missing_ratio > threshold
PJT,0.27239709443099275,missing_ratio > threshold
CSM,0.2687651331719128,missing_ratio > threshold
CMV,0.2602905569007264,missing_ratio > threshold
TCR,0.2566585956416465,missing_ratio > threshold
IDI,0.25544794188861986,missing_ratio > threshold
SRF,0.24818401937046006,missing_ratio > threshold
MCP,0.2457627118644068,missing_ratio > threshold
TPC,0.2397094430992736,missing_ratio > threshold
ABT,0.23849878934624696,missing_ratio > threshold
LAF,0.23849878934624696,missing_ratio > threshold
NHT,0.23365617433414043,missing_ratio > threshold
VDP,0.2288135593220339,missing_ratio > threshold
ADP,0.2288135593220339,missing_ratio > threshold
HTV,0.22276029055690072,missing_ratio > threshold
HID,0.21670702179176757,missing_ratio > threshold
CCI,0.211864406779661,missing_ratio > threshold
GIL,0.2106537530266344,missing_ratio > threshold
VPS,0.20823244552058112,missing_ratio > threshold
