PC,Rank,Sector,SymbolCount,TotalAbsLoading,ContributionPct,DominantDirection
PC1,1,Unknown,20,1.395034691004651,100.0,Positive
PC2,1,Unknown,20,2.2632667387149703,100.0,Positive
PC3,1,Unknown,20,2.548611624334385,100.0,Positive
PC4,1,Unknown,20,2.6801134640670417,100.0,Positive
PC5,1,Unknown,20,2.9557833980314694,100.0,Positive
PC6,1,Unknown,20,2.8989083727406446,100.0,Positive
PC7,1,Unknown,20,3.0848054385282255,100.0,Negative
PC8,1,Unknown,20,2.7908202051713666,100.0,Positive
PC9,1,Unknown,20,2.6914309576435578,100.0,Positive
PC10,1,Unknown,20,2.9018069206208965,100.0,Positive
