,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
AAA,0.0670091760776707,0.011616626625357427,-0.0308853401323771,0.07656743063975671,-0.020823233083402008,0.05066378730133259,0.06764666715937273,-0.014200309440778831,0.004166332780626012,0.04719668773653988,-0.036550086909094094
AAM,0.049913677371514656,-0.04723857044252709,-0.07284999528657765,0.042309673138249494,-0.04764848587934415,0.025130799579404433,-0.1485445739297802,0.13554047673223169,-0.02964986377213085,-0.11995941985462018,-0.053492347544524935
AAT,0.0636613432585064,-0.04787062725310804,0.05663127987561386,0.028422574643287738,0.04374484374385615,0.012261027115899045,0.03433472386616433,-0.019850960292547463,0.009385201102580638,-0.006566408026859864,0.014096163206144615
ABS,0.06556124263838185,-0.04893132043614379,0.02937001571581336,0.02254440800752594,0.0328517067670594,-0.006762061917403366,0.015532527258312667,-0.004687544242560433,0.02301934083969572,0.012190854242548382,0.02197923027882358
ACB,0.06286299548590374,0.04122394233387564,-0.0350722190271801,-0.06183537409196873,-0.0197897202187051,0.07885330191099588,0.036583612051820195,-0.02060141539790888,-0.015400085869373907,0.088223111017115,-0.021042826829147137
ACC,0.05101992887777381,-0.04866677505322374,-0.023493780974122996,0.06243974643301274,0.1040579427445305,0.1129213835702842,0.07148075322698305,0.07190279443792222,-0.04118898958358124,-0.036039560230779775,0.16504232480143785
ACG,0.0641795449155561,-0.04342551099469114,0.04943639260609621,0.002810473139901219,0.03636209972276657,0.0022284272467776992,0.025827956886197413,0.008563157001252318,-0.04712770897240474,0.029724757749508283,0.09953956091711494
ACL,0.06448693854589395,-0.019463229978814937,0.05779941377638813,0.07794692125121935,-0.020270635563293567,-0.009357642370917888,-0.01862900890890248,-0.04494497019195911,-0.05614295715692604,0.033420723145473424,0.05922519604049596
ADG,0.05513406788842748,-0.057983064879536056,-0.06833344514776399,0.06483231768019088,0.029596006844943023,-0.006354153136974892,0.0715404980566631,0.08629188906368004,-0.01391635408206587,-0.013461614140036788,0.007951081162735386
ADS,0.06806736793038541,0.007431714160888234,-0.001284015594218174,0.040024205648330695,-0.049863936353025176,-0.0891979466900222,0.04242092901644524,0.03243456084532933,0.04780016765760389,0.04564132454609738,0.023682092767137543
AFX,0.05557144372241137,-0.06568568894961943,0.007227202191958472,-0.006641036743520642,0.005897015163785007,-0.07645173609254773,-0.11269943169315527,-0.026985705948558293,0.0658950345656087,0.022160965948765883,-0.06259156160712959
AGG,0.06128381265923827,-0.058887600807131284,-0.01672985530944212,-0.034013660094147656,0.03767919383395322,-0.04121072256016409,-0.024381975593873364,0.03466356091670013,-0.046541533619808416,0.049301628507389186,-0.035855100494163725
AGR,0.051885592824790605,0.08332207330903108,-0.042846225763216,-0.01745596765928909,0.017222896935670074,-0.041403259455654776,0.019620212150079412,-0.031160254198606102,-0.01252585905157035,0.0034827197536628214,-0.02256030101676023
ANV,0.05649683898190822,-0.056912311109483124,0.09006657924709535,0.03966979719037762,0.016510676140767632,0.02940192205418941,0.008862552131149053,0.05459081085384777,-0.06673203929492122,-0.004128879183140417,0.032350785202716774
APG,0.05547733426999542,0.06572706783266981,-0.061523158898541715,-0.07059275469127119,-0.03391026519282171,0.029135432779750264,0.030316656186617344,-0.025478284471507205,0.005209496247451343,0.01615034995995111,0.002038627742143612
APH,0.06733209896489561,-0.03804490147715171,0.02497665420372184,0.041277530018018004,-0.012487732836647308,0.011247829913119714,0.03975306404958421,-0.03735806080389908,0.022116462179907873,-0.005623523317823555,-0.007224693920385769
ASG,0.058577681654129576,-0.06407477241581072,-0.019874278066758157,-0.06074740764848106,-0.007878370936671977,0.0056518124321185475,0.018110525719686698,-0.008733598336570196,-0.04985438581531947,0.067161962559947,0.009084577633214817
ASM,0.06817471188127881,-0.020421084979023785,0.045310915374480794,0.03792570930891002,0.001058767500333895,0.01287381698639985,-0.022767767863686207,0.04919023560157892,0.05001522268327403,-0.0026792345914779282,-0.014588142635197086
ASP,0.06597232060970151,-0.02866125295601775,-0.05419907991452712,0.0420781376226971,-0.02164339203623043,-0.03739388126033072,-0.011542364130259117,0.028151826245954532,0.05130637083942228,-0.015292072041984912,0.03664051751507797
BAF,0.06624298651888584,-0.006400348108198186,0.011781266523098213,-0.02707806816212436,-0.03173674673610739,0.015097868282464337,0.0873783906045112,0.03798380130229356,-0.11703118198661547,0.010916845721243268,-0.08541681646551029
BCE,0.06940100576716791,-0.02852936019767279,-0.03608741696328804,-0.010024164413838764,-0.022111425641245713,-0.005987500377402236,0.014879325316250143,0.012029206567251632,0.025061922186309007,-0.019748315336455418,-0.0032988377499968274
BCG,0.06637945888918559,-0.03207550487042865,0.051937431524186804,0.054154836944863685,0.0071794156738309595,-0.017769037702823162,0.02348283702422246,-0.028784347114894346,0.009490402333946678,-0.027926959837405087,0.03673262134504427
BCM,0.0033124883651909215,-0.07841062386291676,-0.0817349787802405,0.05408235622454117,0.14581213190726336,0.1292119493513735,-0.08256240685140187,0.08203851929368006,0.15217684275987978,-0.056874505221839566,0.16417899534085043
BFC,0.0640712989256087,0.03178225472934231,0.02513363441695194,-0.06287863467821146,-0.041209332673627086,0.043753319718626234,-0.042319683208282784,0.09274604848086711,-0.014700596467946374,-0.04296439509944334,-0.09797482142216786
BHN,0.05947164979113104,-0.07093449760659856,0.007759169473797304,-0.011215138768548405,-0.02180860239237237,0.021525795364928303,-0.003745772896302053,-0.005217044047056883,-0.010009471109619897,-0.03352101647154709,0.0037054930885188435
BIC,0.03397437526425646,0.03700114118952875,-0.04195382263826174,0.08335468686966913,-0.010114071020262256,0.1630992206473626,-0.12304681909391187,0.1476610506502862,0.18321673636471839,-0.08433382840863529,-0.07529480262172307
BID,0.04697263024324088,0.05176132630855282,-0.08517010665768888,-0.07686477845298383,0.005138212704475231,0.14167083665201274,0.044889140087639785,-0.03988151843990406,0.06752436211443309,0.10291296846055306,0.017953893999678724
BKG,0.06877514657366834,-0.022398227197130038,0.026520125790161962,0.01062235163172294,0.02949540830000913,-0.04519945113348202,0.041203517737494956,0.019125500507839288,0.05530384727649226,-0.04769728507768047,0.024962104859770934
BMC,0.06010140771081371,0.04059297153965303,-0.04996275095637321,-0.07204458816128821,0.04423117341785835,0.07609873144678872,-0.03351625077288544,0.07519213565085209,-0.014626899107417135,-0.01422377008762116,-0.032355121398748646
BMI,0.06769224029768876,-0.008869423183235095,-0.00897467133032488,0.034913981072605134,-0.03964340642677547,0.019230874247397285,-0.06278156520852572,-0.008474846726270796,-0.006616981463196619,0.060418871255745694,0.1491185963050317
BMP,-0.01217120363646496,0.12053044479549942,0.03335629312060099,0.02525283373075998,0.02936671193322532,0.015955662735249326,0.030815382505440216,-0.004363801363294607,0.09034814995821937,0.02522926117259291,-0.10789533976378891
BRC,0.06655756485749,0.02552888035994973,-2.711204503435684e-05,-0.038621819860035364,0.04647441768825846,-0.017381877929762545,0.06330902216702147,0.02168449437380436,0.029498699498417113,0.05687962805027641,-0.06036040506604871
BSI,0.023097670266159682,0.11727141314093135,0.03627461006831635,-0.024512722024619116,0.01656675165494803,0.020000785893019127,0.04413090528073147,-9.855302020401682e-05,-0.008108263969725919,-0.0181166362795182,-0.038312536704646405
BSR,0.06196027105415347,0.0006475432463183688,0.08001372764762053,0.026345796365387718,-0.0030363695438007173,-0.013291192090307801,-0.04043010679998094,-0.020128231700767493,-0.16544119307288635,0.1458549490278778,0.027529887020199297
BTP,0.05458575108133462,0.051865960688123824,0.0013268029505913979,-0.06893111595423397,0.06473195626000543,0.032004408522791926,0.10023457728340164,-0.03843485798862796,0.07871015969841033,0.09023424715535405,-0.07053639808498838
BVH,0.04996789533650736,-0.07486235777851316,-0.027050461829141455,0.00757419888129021,-0.007423613667751787,0.10243242745601307,-0.11261534949482344,0.02357447133563266,0.03330173615320976,-0.011396697040232285,0.01703982597188817
