PC,Rank,Sector,SymbolCount,TotalAbsLoading,ContributionPct,DominantDirection
PC1,1,Unknown,20,1.3950346910046516,100.0,Positive
PC2,1,Unknown,20,2.263266738714972,100.0,Positive
PC3,1,Unknown,20,2.548611624334383,100.0,Positive
PC4,1,Unknown,20,2.680113464067044,100.0,Positive
PC5,1,Unknown,20,2.955783398031474,100.0,Positive
PC6,1,Unknown,20,2.898908372740647,100.0,Positive
PC7,1,Unknown,20,3.084805438528232,100.0,Negative
PC8,1,Unknown,20,2.790820205171372,100.0,Positive
PC9,1,Unknown,20,2.691430957643563,100.0,Positive
PC10,1,Unknown,20,2.9018069206208947,100.0,Positive
