PC,Symbol,Loading,AbsLoading,Direction,Sector
PC1,PHR,0.0709194558757234,0.0709194558757234,Positive,Unknown
PC1,LGL,0.07087666638236552,0.07087666638236552,Positive,Unknown
PC1,CCL,0.07086401644474608,0.07086401644474608,Positive,Unknown
PC1,TVB,0.07059691008289232,0.07059691008289232,Positive,Unknown
PC1,NHA,0.07059071082446094,0.07059071082446094,Positive,Unknown
PC1,D2D,0.07031945187344195,0.07031945187344195,Positive,Unknown
PC1,PAN,0.07023135311113106,0.07023135311113106,Positive,Unknown
PC1,GVR,0.06970475244087429,0.06970475244087429,Positive,Unknown
PC1,SAV,0.06968116280169812,0.06968116280169812,Positive,Unknown
PC1,VND,0.06942972052185876,0.06942972052185876,Positive,Unknown
PC1,BCE,0.06940100576716793,0.06940100576716793,Positive,Unknown
PC1,TLD,0.06930897016385797,0.06930897016385797,Positive,Unknown
PC1,DPG,0.06926402532968666,0.06926402532968666,Positive,Unknown
PC1,TDH,0.069211923993392,0.069211923993392,Positive,Unknown
PC1,NTL,0.06918700090908057,0.06918700090908057,Positive,Unknown
PC1,TCD,0.06914289931001388,0.06914289931001388,Positive,Unknown
PC1,HVX,0.06911387010112269,0.06911387010112269,Positive,Unknown
PC1,HII,0.06911253503891775,0.06911253503891775,Positive,Unknown
PC1,DC4,0.06905219738560074,0.06905219738560074,Positive,Unknown
PC1,TNT,0.06902606264661908,0.06902606264661908,Positive,Unknown
PC2,CLL,0.12389897289872569,0.12389897289872569,Positive,Unknown
PC2,TBC,0.1223112955675617,0.1223112955675617,Positive,Unknown
PC2,NAB,0.12093422698769593,0.12093422698769593,Positive,Unknown
PC2,PVS,0.12066758536551934,0.12066758536551934,Positive,Unknown
PC2,BMP,0.12053044479549954,0.12053044479549954,Positive,Unknown
PC2,BSI,0.1172714131409314,0.1172714131409314,Positive,Unknown
PC2,PVD,0.11701683633569716,0.11701683633569716,Positive,Unknown
PC2,VIP,0.11346211882705702,0.11346211882705702,Positive,Unknown
PC2,ELC,0.11320174607662731,0.11320174607662731,Positive,Unknown
PC2,DVP,0.11294780331942784,0.11294780331942784,Positive,Unknown
PC2,PGD,0.11275670169958679,0.11275670169958679,Positive,Unknown
PC2,VCB,0.1120000412987731,0.1120000412987731,Positive,Unknown
PC2,PVT,0.11151790794001666,0.11151790794001666,Positive,Unknown
PC2,CTS,0.10982868417412436,0.10982868417412436,Positive,Unknown
PC2,SHP,0.10907618163788668,0.10907618163788668,Positive,Unknown
PC2,FPT,0.10883253490630006,0.10883253490630006,Positive,Unknown
PC2,SAB,-0.10685756231255406,0.10685756231255406,Negative,Unknown
PC2,LPB,0.10440048053117318,0.10440048053117318,Positive,Unknown
PC2,VIX,0.10311535063093782,0.10311535063093782,Positive,Unknown
PC2,DMC,0.1026388502688763,0.1026388502688763,Positive,Unknown
PC3,DGC,0.1778260512590639,0.1778260512590639,Positive,Unknown
PC3,KDC,0.1390876972406191,0.1390876972406191,Positive,Unknown
PC3,ITD,-0.13875916890495357,0.13875916890495357,Negative,Unknown
PC3,HAH,0.13703938957367393,0.13703938957367393,Positive,Unknown
PC3,PNJ,0.13563548796494637,0.13563548796494637,Positive,Unknown
PC3,REE,0.13556917877843191,0.13556917877843191,Positive,Unknown
PC3,CKG,-0.1343373563050653,0.1343373563050653,Negative,Unknown
PC3,FRT,0.13363058882007636,0.13363058882007636,Positive,Unknown
PC3,GMD,0.13358003468217164,0.13358003468217164,Positive,Unknown
PC3,DTL,-0.1308052332551576,0.1308052332551576,Negative,Unknown
PC3,VRE,-0.13001892105998653,0.13001892105998653,Negative,Unknown
PC3,DBD,0.12525216330742261,0.12525216330742261,Positive,Unknown
PC3,CMG,0.1212388464809335,0.1212388464809335,Positive,Unknown
PC3,VGC,0.11673816377882631,0.11673816377882631,Positive,Unknown
PC3,NNC,-0.11356096929929095,0.11356096929929095,Negative,Unknown
PC3,MIG,0.11312147141600132,0.11312147141600132,Positive,Unknown
PC3,VNL,-0.11057873964883372,0.11057873964883372,Negative,Unknown
PC3,VNE,-0.10780321507878017,0.10780321507878017,Negative,Unknown
PC3,VSH,0.10710024754834975,0.10710024754834975,Positive,Unknown
PC3,FPT,0.10692869993179856,0.10692869993179856,Positive,Unknown
PC4,TMT,0.23006278607758238,0.23006278607758238,Positive,Unknown
PC4,ST8,0.19606320320281542,0.19606320320281542,Positive,Unknown
PC4,SHI,-0.16225453605735124,0.16225453605735124,Negative,Unknown
PC4,NT2,0.15413803823195424,0.15413803823195424,Positive,Unknown
PC4,EVE,0.14921651825087148,0.14921651825087148,Positive,Unknown
PC4,DHG,0.14253229654024083,0.14253229654024083,Positive,Unknown
PC4,REE,0.1398103399638936,0.1398103399638936,Positive,Unknown
PC4,VNM,-0.1335153685036256,0.1335153685036256,Negative,Unknown
PC4,PDV,0.13223247738460886,0.13223247738460886,Positive,Unknown
PC4,SMB,-0.12490279718553518,0.12490279718553518,Negative,Unknown
PC4,FIR,0.12277632469827503,0.12277632469827503,Positive,Unknown
PC4,SKG,0.12031477444364283,0.12031477444364283,Positive,Unknown
PC4,SGN,0.11822987747272388,0.11822987747272388,Positive,Unknown
PC4,SRC,-0.11384106149431983,0.11384106149431983,Negative,Unknown
PC4,HT1,0.11008699072454743,0.11008699072454743,Positive,Unknown
