label,Lookback,Batch_size,Train_RMSE,Train_MAE,Train_MAPE(%),Val_RMSE,Val_MAE,Val_MAPE(%),Train_samples,Val_samples,Best_Epoch,collapsed
no_dr,20,16,28.5770,20.6613,1.7656,55.2143,47.5086,3.7495,516,123,10,False
no_dr,20,32,45.4438,29.1625,2.4098,54.3937,47.0910,3.7163,516,123,9,False
no_dr,30,16,43.2897,27.6537,2.3089,56.5859,49.9819,3.9416,506,123,6,False
no_dr,30,32,38.2741,24.8986,2.0861,56.3936,49.8587,3.9318,506,123,12,False
no_dr,40,16,36.5658,24.5584,2.1005,59.0016,52.1037,4.1077,496,123,7,False
no_dr,40,32,38.4532,24.6799,2.0984,55.4124,48.2639,3.8063,496,123,11,False
no_dr,50,16,35.4940,22.4680,1.9306,54.8267,47.8476,3.7717,486,123,8,False
no_dr,50,32,42.8310,26.2236,2.2420,52.8165,45.8648,3.6184,486,123,9,False
no_dr,60,16,33.7008,22.1677,1.9464,55.5855,48.9506,3.8582,476,123,7,False
no_dr,60,32,33.9282,21.9397,1.9241,55.5765,49.1670,3.8772,476,123,12,False
pca_cev_0.75,20,16,50.6129,38.5336,3.2236,28.1230,23.4887,1.8805,516,123,12,False
pca_cev_0.75,20,32,54.9541,40.6965,3.3899,27.4703,22.8630,1.8309,516,123,18,False
pca_cev_0.75,30,16,35.6420,27.7895,2.3928,28.3890,23.1551,1.8567,506,123,37,False
pca_cev_0.75,30,32,35.8872,27.9671,2.4115,28.3850,23.1461,1.8561,506,123,62,False
pca_cev_0.75,40,16,33.3337,25.5754,2.2156,27.9077,22.8415,1.8276,496,123,43,False
pca_cev_0.75,40,32,39.7681,31.0192,2.6702,28.5747,23.3632,1.8726,496,123,50,False
pca_cev_0.75,50,16,37.9757,29.1296,2.5147,28.0674,22.8978,1.8358,486,123,30,False
pca_cev_0.75,50,32,46.9510,34.9215,3.0037,27.9070,23.4276,1.8748,486,123,30,False
pca_cev_0.75,60,16,32.6467,24.8499,2.1737,26.9113,21.6703,1.7386,476,123,45,False
pca_cev_0.75,60,32,31.2726,23.7601,2.0828,25.7277,20.5449,1.6501,476,123,147,False
pca_cev_0.80,20,16,133.5021,105.0153,8.8852,82.7479,78.2976,6.1824,516,123,1,True
pca_cev_0.80,20,32,135.9293,107.4511,9.1110,82.1092,77.6392,6.1301,516,123,1,True
pca_cev_0.80,30,16,127.3526,100.8473,8.6424,82.6350,78.1925,6.1741,506,123,1,True
pca_cev_0.80,30,32,130.2099,103.6098,8.8992,81.7503,77.2782,6.1015,506,123,1,True
pca_cev_0.80,40,16,120.8313,96.6416,8.4018,82.3620,77.9123,6.1518,496,123,1,True
pca_cev_0.80,40,32,123.8135,99.4078,8.6583,81.8651,77.3963,6.1109,496,123,1,True
pca_cev_0.80,50,16,115.2983,92.8385,8.1783,82.4908,78.0491,6.1627,486,123,1,True
pca_cev_0.80,50,32,118.2411,95.5220,8.4289,81.9558,77.4907,6.1184,486,123,1,True
pca_cev_0.80,60,16,107.1408,88.1220,7.9040,82.5748,78.1332,6.1694,476,123,1,True
pca_cev_0.80,60,32,110.3560,90.8914,8.1643,81.8786,77.4108,6.1120,476,123,1,True
pca_cev_0.85,20,16,32.3171,24.2865,2.1100,25.1279,20.0636,1.6112,516,123,50,False
pca_cev_0.85,20,32,37.8694,28.9449,2.4982,25.7969,20.4179,1.6413,516,123,60,False
pca_cev_0.85,30,16,121.1608,97.4233,8.3975,77.2806,72.7430,5.7418,506,123,1,True
pca_cev_0.85,30,32,124.6300,99.9563,8.6140,76.2945,71.7116,5.6599,506,123,1,True
pca_cev_0.85,40,16,116.2013,93.8978,8.1964,77.3166,72.7766,5.7444,496,123,1,True
pca_cev_0.85,40,32,119.2579,96.2120,8.3995,76.3167,71.7342,5.6617,496,123,1,True
pca_cev_0.85,50,16,111.6025,90.5257,7.9994,77.1295,72.5809,5.7289,486,123,1,True
pca_cev_0.85,50,32,40.6136,30.2081,2.6233,26.1232,20.7892,1.6705,486,123,62,False
pca_cev_0.85,60,16,104.4686,86.1544,7.7421,77.4768,72.9382,5.7573,476,123,1,True
pca_cev_0.85,60,32,107.2042,88.3638,7.9458,76.3958,71.8131,5.6679,476,123,1,True
pca_cev_0.90,20,16,30.8900,23.2336,2.0203,25.7997,20.7166,1.6631,516,123,21,False
pca_cev_0.90,20,32,37.8077,29.1476,2.5174,25.7777,20.8843,1.6748,516,123,25,False
pca_cev_0.90,30,16,30.6969,23.1809,2.0132,26.0040,21.2911,1.7064,506,123,23,False
pca_cev_0.90,30,32,29.3352,21.9701,1.9096,25.9037,20.9224,1.6787,506,123,43,False
pca_cev_0.90,40,16,29.5468,21.9746,1.9110,25.9613,21.0319,1.6870,496,123,24,False
pca_cev_0.90,40,32,33.9827,25.5206,2.2028,26.0161,20.9578,1.6816,496,123,32,False
pca_cev_0.90,50,16,34.0845,24.9047,2.1531,26.0032,20.7739,1.6681,486,123,19,False
pca_cev_0.90,50,32,40.2892,29.4852,2.5444,25.9776,20.5052,1.6485,486,123,25,False
pca_cev_0.90,60,16,31.9395,22.8816,1.9952,25.8333,20.8909,1.6757,476,123,21,False
pca_cev_0.90,60,32,31.5235,22.5616,1.9704,25.8700,20.7286,1.6641,476,123,35,False
pca_cev_0.95,20,16,30.5305,22.7267,1.9583,27.0593,20.6622,1.6545,516,123,19,False
pca_cev_0.95,20,32,51.3329,40.3595,3.5153,26.1031,20.4268,1.6369,516,123,21,False
pca_cev_0.95,30,16,31.2656,23.0398,1.9888,25.8554,20.1611,1.6151,506,123,19,False
pca_cev_0.95,30,32,28.2775,21.1929,1.8292,25.7570,20.1469,1.6142,506,123,38,False
pca_cev_0.95,40,16,27.0867,20.1890,1.7452,25.3066,19.9184,1.5988,496,123,25,False
pca_cev_0.95,40,32,34.2412,24.7309,2.1313,25.3146,19.9120,1.5984,496,123,29,False
pca_cev_0.95,50,16,34.7533,24.4911,2.1110,25.5323,20.0169,1.6074,486,123,17,False
pca_cev_0.95,50,32,42.8909,30.5183,2.6574,25.4348,20.1781,1.6179,486,123,24,False
pca_cev_0.95,60,16,25.6386,18.7098,1.6345,25.2687,19.7957,1.5870,476,123,31,False
pca_cev_0.95,60,32,25.6377,18.7517,1.6372,25.2452,19.9364,1.6006,476,123,46,False
