model,CEV,n,RMSE_pca,RMSE_no_dr,RMSE_gain_pct,DM_MSE_stat,DM_MSE_p,Wilcoxon_p,DM_MSE_p_holm,significant_5pct_holm
ARDL,0.7500,167,14.0640,85.8870,83.6249,-4.2596,0.0000,0.0000,0.0002,True
ARDL,0.8000,167,13.9815,85.8870,83.7210,-4.2606,0.0000,0.0000,0.0002,True
ARDL,0.8500,167,13.9718,85.8870,83.7323,-4.2604,0.0000,0.0000,0.0002,True
ARDL,0.9000,167,13.9666,85.8870,83.7384,-4.2601,0.0000,0.0000,0.0002,True
ARDL,0.9500,167,14.0562,85.8870,83.6340,-4.2578,0.0000,0.0000,0.0002,True
LSTM,0.7500,167,25.4410,41.1529,38.1793,-2.4578,0.0140,0.0000,0.0435,True
LSTM,0.8000,167,91.3652,41.1529,-122.0139,9.8998,0.0000,0.0000,0.0000,True
LSTM,0.8500,167,33.4236,41.1529,18.7820,-1.1586,0.2466,0.0209,0.3999,False
LSTM,0.9000,167,33.9607,41.1529,17.4769,-1.2817,0.2000,0.0093,0.3999,False
LSTM,0.9500,167,28.7692,41.1529,30.0918,-2.5467,0.0109,0.0000,0.0435,True
