label,Seed,N,DM_Stat,p_value,Significant
no_dr,42,167,3.9437,0.0001,True
no_dr,52,167,4.1098,0.0000,True
no_dr,62,167,3.2696,0.0011,True
no_dr,72,167,3.9794,0.0001,True
no_dr,82,167,-0.1638,0.8699,False
pca_cev_0.75,42,167,-2.3857,0.0170,True
pca_cev_0.75,52,167,-1.7312,0.0834,False
pca_cev_0.75,62,167,-2.3946,0.0166,True
pca_cev_0.75,72,167,-1.7743,0.0760,False
pca_cev_0.75,82,167,-1.9653,0.0494,True
pca_cev_0.80,42,167,-2.8413,0.0045,True
pca_cev_0.80,52,167,-2.7051,0.0068,True
pca_cev_0.80,62,167,-2.6382,0.0083,True
pca_cev_0.80,72,167,-3.2953,0.0010,True
pca_cev_0.80,82,167,-2.5860,0.0097,True
pca_cev_0.85,42,167,-3.2696,0.0011,True
pca_cev_0.85,52,167,-2.3308,0.0198,True
pca_cev_0.85,62,167,-2.7240,0.0064,True
pca_cev_0.85,72,167,-3.4126,0.0006,True
pca_cev_0.85,82,167,-3.0565,0.0022,True
pca_cev_0.90,42,167,-2.6867,0.0072,True
pca_cev_0.90,52,167,-3.5771,0.0003,True
pca_cev_0.90,62,167,-3.3749,0.0007,True
pca_cev_0.90,72,167,-3.3378,0.0008,True
pca_cev_0.90,82,167,-2.2734,0.0230,True
pca_cev_0.95,42,167,-3.3244,0.0009,True
pca_cev_0.95,52,167,-3.2913,0.0010,True
pca_cev_0.95,62,167,-3.4402,0.0006,True
pca_cev_0.95,72,167,-3.5718,0.0004,True
pca_cev_0.95,82,167,-3.2624,0.0011,True
